Topic,Count,Name,Representation,Representative_Docs
32,9,32_muscles_muscle_joints_fascia,"['muscles', 'muscle', 'joints', 'fascia', 'weaker', 'flexible', 'hypotonia', 'tighten', 'begin', 'breaking']","['muscles and joints tighten', 'compression causes muscle cells to begin breaking down', 'fascia surrounding the muscles and the joints becomes tight and less flexible']"
33,9,33_office_doctor_diagnostic_transported,"['office', 'doctor', 'diagnostic', 'transported', 'facility', 'has', 'periodic', 'transfers', 'other', 'patient']","[""patient has to be transported to the doctor's office or other diagnostic facility"", ""patient has to be transported to the doctor's office or other diagnostic facility"", ""patient has to be transported to the doctor's office or other diagnostic facility""]"
34,9,34_surgery_prosthetic_replacements_geriatric,"['surgery', 'prosthetic', 'replacements', 'geriatric', 'lower', 'surgeries', 'foot', 'appropriate', 'leg', 'extremity']","['lower leg surgery', 'appropriate prosthetic care for geriatric patients', 'appropriate prosthetic care for geriatric patients']"
35,9,35_diabetes_diseases_arthritis_disease,"['diabetes', 'diseases', 'arthritis', 'disease', '', '', '', '', '', '']","['diabetes', 'diabetes', 'diabetes']"
36,9,36_feasible_supervision_continuous_economically,"['feasible', 'supervision', 'continuous', 'economically', 'maintenance', 'experts', 'is', 'manual', 'ongoing', 'setup']","['continuous supervision is not feasible', 'continuous supervision is not feasible', 'continuous supervision is not feasible']"
37,9,37_cycle_29_just_was,"['cycle', '29', 'just', 'was', 'birth', 'per', 'live', 'following', 'ivf', 'rate']","['live birth rate, per cycle, following ivf was just 29%', 'live birth rate, per cycle, following ivf was just 29%', 'live birth rate, per cycle, following ivf was just 29%']"
38,9,38_power_powered_electricity_options,"['power', 'powered', 'electricity', 'options', 'battery', 'source', 'prone', 'acquisition', 'replacement', 'charging']","['powered options require electricity', 'powered options require electricity', 'powered options require electricity and some power source']"
39,9,39_aneuploidy_aneuploid_chromosomal_abnormalities,"['aneuploidy', 'aneuploid', 'chromosomal', 'abnormalities', 'phenotypes', 'aberrant', 'aneuploidies', 'conceptuses', 'trisomic', 'mosaicism']","['chromosomal abnormalities', 'inability to predict aneuploidy rates', 'chromosomal abnormalities, or aneuploidy']"
40,8,40_nursing_homes_medicate_because,"['nursing', 'homes', 'medicate', 'because', 'entering', 'so', 'self', '40', 'admissions', 'residents']","['admissions to nursing homes', '40% of people entering nursing homes do so because they are unable to self-medicate', '40% of people entering nursing homes do so because they are unable to self-medicate']"
41,8,41_challenged_physically_limitation_individuals,"['challenged', 'physically', 'limitation', 'individuals', 'patient', 'physical', '', '', '', '']","['physically challenged individuals', 'physically challenged individuals', 'physically challenged individuals']"
42,8,42_undesirable_invasive_adequate_live,"['undesirable', 'invasive', 'adequate', 'live', 'transfer', 'friendly', 'may', 'necessity', 'care', 'be']","['live-in care may be undesirable and invasive', 'live-in care may be undesirable and invasive', 'live-in care may be undesirable and invasive']"
43,8,43_citizens_senior_seniors_disoriented,"['citizens', 'senior', 'seniors', 'disoriented', 'missing', 'needs', 'rise', 'become', 'number', 'in']","['senior citizens', 'senior citizens', 'senior citizens']"
44,8,44_injured_contact_way_help,"['injured', 'contact', 'way', 'help', 'without', 'being', 'ambulance', 'driveway', 'embarrassment', 'trucks']","['risk of being injured without a way to contact help', 'risk of being injured without a way to contact help', 'risk of being injured without a way to contact help']"
45,8,45_concepts_instructions_understand_declines,"['concepts', 'instructions', 'understand', 'declines', 'sudden', 'diminished', 'responses', 'orientation', 'awareness', 'ability']","['diminished ability to understand concepts or instructions', 'diminished ability to understand concepts or instructions', 'diminished ability to understand concepts or instructions']"
46,8,46_congestion_traffic_collisions_chaos,"['congestion', 'traffic', 'collisions', 'chaos', '', '', '', '', '', '']","['traffic congestion', 'traffic congestion', 'traffic congestion']"
47,8,47_their_support_legs_upright,"['their', 'support', 'legs', 'upright', 'torso', 'weight', 'unable', 'hold', 'balance', 'upper']","['unable to support their weight on their legs', 'unable to support their weight on their legs', 'unable to support their weight on their legs']"
48,8,48_wearable_protection_inconvenience_acceptance,"['wearable', 'protection', 'inconvenience', 'acceptance', 'devices', 'caused', 'prefer', 'suffer', 'transmitter', 'necessity']","['wearable devices suffer from limited acceptance and use', 'inconvenience caused by wearable protection devices', 'inconvenience caused by wearable protection devices']"
49,8,49_egg_quality_decline_eggs,"['egg', 'quality', 'decline', 'eggs', 'fecundity', 'production', 'decreased', 'variable', 'impaired', 'poor']","['decline in egg quality', 'decline in egg quality', 'decline in egg quality']"
50,8,50_want_unprotected_go_injure,"['want', 'unprotected', 'go', 'injure', 'left', 'vulnerable', 'victims', 'prison', 'protect', 'event']","['limited use to protect victims of domestic violence', 'left unprotected in the event that they want to go out', 'left unprotected in the event that they want to go out']"
51,8,51_detects_miss_alarms_false,"['detects', 'miss', 'alarms', 'false', 'rate', 'automatic', 'high', 'detection', 'threats', 'harm']","['high rate of false alarms and miss-detects', 'high rate of false alarms and miss-detects', 'high rate of false alarms and miss-detects']"
52,7,52_transportation_unexpectedly_trips_tripping,"['transportation', 'unexpectedly', 'trips', 'tripping', 'modes', 'straying', 'pets', 'trip', 'breakdown', 'infrastructure']","['unexpectedly trips over', 'pets straying too far from a home location', 'expensive transportation modes']"
53,7,53_collapsibility_limited__,"['collapsibility', 'limited', '', '', '', '', '', '', '', '']","['limited collapsibility', 'limited collapsibility', 'limited collapsibility']"
54,7,54_culture_environments_removal_tightly,"['culture', 'environments', 'removal', 'tightly', 'controlled', 'assessments', 'vivo', 'operated', 'incubator', 'standardized']","['in vitro culture environments differ from in vivo environments', 'removal from tightly controlled culture environments during manual assessments', 'removal from tightly controlled culture environments during manual assessments']"
55,7,55_configuration_bulky__,"['configuration', 'bulky', '', '', '', '', '', '', '', '']","['bulky configuration', 'bulky configuration', 'bulky configuration']"
56,7,56_assault_aggravated_violence_domestic,"['assault', 'aggravated', 'violence', 'domestic', 'abuse', 'scared', 'confused', 'victim', 'physical', 'and']","['violence and domestic abuse', 'aggravated assault', 'aggravated assault']"
57,7,57_allow_technologies_available_if,"['allow', 'technologies', 'available', 'if', 'capable', 'specific', 'given', 'finding', 'away', 'locations']","['current technologies available allow for assistance to be given to a person if the person is at specific location', 'current technologies available allow for a person to be capable of finding assistance themselves if they are away from those locations', 'current technologies available allow for a person to be capable of finding assistance themselves if they are away from those locations']"
58,7,58_battery_disadvantages_share_prior,"['battery', 'disadvantages', 'share', 'prior', 'structural', 'adds', 'this', 'form', 'art', 'devices']","['disadvantages of prior art devices', 'disadvantages of prior art devices', 'storage for this power in battery form adds weight']"
59,7,59_lh_levels_premature_surge,"['lh', 'levels', 'premature', 'surge', 'serum', 'surges', 'fsh', 'low', 'stimulation', 'poor']","['low lh levels', 'low lh levels', 'low lh levels']"
60,7,60_disabled_disability_permanently_temporarily,"['disabled', 'disability', 'permanently', 'temporarily', 'totally', 'or', '', '', '', '']","['disabled', 'disabled', 'temporarily or permanently totally disabled']"
61,7,61_dementia_onset_alzheimer_disease,"['dementia', 'onset', 'alzheimer', 'disease', 'of', '', '', '', '', '']","['dementia', 'dementia', 'dementia']"
62,7,62_conceiving_conceive_difficulty_inability,"['conceiving', 'conceive', 'difficulty', 'inability', 'difficulties', 'in', 'to', '', '', '']","['difficulty conceiving', 'difficulty conceiving', 'difficulty conceiving']"
63,7,63_fear_psychological_effects_anxiety,"['fear', 'psychological', 'effects', 'anxiety', 'high', 'panic', 'confusion', 'of', 'or', '']","['high psychological effects of fear', 'high psychological effects of fear', 'high psychological effects of fear']"
64,7,64_unsafe_uncomfortable_try_dropping,"['unsafe', 'uncomfortable', 'try', 'dropping', 'patient', 'canvas', 'family', 'inconvenient', 'sling', 'staff']","['uncomfortable and unsafe for the patient', 'uncomfortable and unsafe for the patient', 'uncomfortable and unsafe for the patient']"
65,7,65_acuity_visual_limited_diminished,"['acuity', 'visual', 'limited', 'diminished', '', '', '', '', '', '']","['limited visual acuity', 'limited visual acuity', 'limited visual acuity']"
66,7,66_traumatic_psychologically_implications_ethical,"['traumatic', 'psychologically', 'implications', 'ethical', 'failures', 'trauma', 'repeated', 'psychological', 'patient', 'treatment']","['psychologically traumatic for a patient', 'psychologically traumatic for a patient', 'psychologically traumatic for a patient']"
67,6,67_dexterity_diminishing_reduced_,"['dexterity', 'diminishing', 'reduced', '', '', '', '', '', '', '']","['diminishing dexterity', 'diminishing dexterity', 'diminishing dexterity']"
68,6,68_heat_exhaustion_incidences_hazard,"['heat', 'exhaustion', 'incidences', 'hazard', 'risk', 'conditions', 'related', 'health', 'to', '']","['risk to heat exhaustion', 'risk to heat exhaustion', 'risk to heat exhaustion']"
69,6,69_buy_goods_value_fair,"['buy', 'goods', 'value', 'fair', 'buyers', 'willing', 'finding', 'difficulties', 'merchandise', 'retail']","['difficulties finding buyers willing to buy their goods for a fair value', 'difficulties finding buyers willing to buy their goods for a fair value', 'difficulties finding buyers willing to buy their goods for a fair value']"
70,6,70_small_members_caregiver_otherwise,"['small', 'members', 'caregiver', 'otherwise', 'infirm', 'lacking', 'household', 'burden', 'family', 'strength']","['caregiver being elderly or otherwise infirm', 'caregiver is small and/or lacking in strength', 'caregiver is small and/or lacking in strength']"
71,6,71_discomfort_serious_impaired_individual,"['discomfort', 'serious', 'impaired', 'individual', 'injury', 'mobility', 'full', 'movements', 'potentially', 'legs']","['serious discomfort or injury for the mobility-impaired individual', 'serious discomfort or injury for the mobility-impaired individual', 'serious discomfort or injury for the mobility-impaired individual']"
72,6,72_vulgarity_harassing_impotence_bloating,"['vulgarity', 'harassing', 'impotence', 'bloating', '', '', '', '', '', '']","['harassing', 'vulgarity', 'harassing']"
73,6,73_network_location_rely_bid,"['network', 'location', 'rely', 'bid', 'dispatchable', 'existing', 'updates', 'requesting', 'through', 'directly']","['existing systems rely on the psap requesting location updates through a “re-bid” process', 'existing location technologies rely on the network to identify the dispatchable location', 'existing location technologies rely on the network to identify the dispatchable location']"
74,6,74_weather_political_news_developments,"['weather', 'political', 'news', 'developments', 'commodity', 'regarding', 'access', 'factors', 'lack', 'and']","['lack of access to news regarding commodity, weather, and political developments', 'lack of access to news regarding commodity, weather, and political developments', 'lack of access to news regarding commodity, weather, and political developments']"
75,6,75_menopause_withdrawal_estrogen_estradiol,"['menopause', 'withdrawal', 'estrogen', 'estradiol', 'elevated', 'symptoms', '', '', '', '']","['menopause', 'menopause', 'menopause']"
76,6,76_neurological_functionality_physiological_locomotive,"['neurological', 'functionality', 'physiological', 'locomotive', 'illnesses', 'paralysis', 'responses', 'impact', 'limitations', 'conditions']","['neurological physiological functionality', 'neurological physiological functionality', 'neurological physiological functionality']"
77,6,77_automation_setting_machine_intelligence,"['automation', 'setting', 'machine', 'intelligence', 'artificial', 'based', 'designed', 'home', 'utilize', 'systems']","['not designed for a home setting', 'need for improved home automation systems', 'need for home automation systems that utilize machine learning and artificial intelligence']"
78,6,78_crime_crimes_property_violent,"['crime', 'crimes', 'property', 'violent', 'illegal', 'countries', 'prevention', 'certain', 'in', '']","['crime prevention', 'property crime', 'property crime']"
79,6,79_dangerous_condition_traverse_terrain,"['dangerous', 'condition', 'traverse', 'terrain', 'challenging', 'any', 'used', 'situation', 'when', 'more']","['dangerous condition', 'dangerous condition', 'dangerous condition']"
80,6,80_spends_longer_helpless_situation,"['spends', 'longer', 'helpless', 'situation', 'spend', 'she', 'had', 'he', 'person', 'likely']","['the longer a person spends in a helpless situation', 'longer a person spends in a helpless situation', 'longer a person spends in a helpless situation']"
81,6,81_irritations_usage_skin_might,"['irritations', 'usage', 'skin', 'might', 'lead', 'long', 'wearable', 'term', 'user', 'devices']","['long term usage of wearable devices might lead to user skin irritations', 'long term usage of wearable devices might lead to user skin irritations', 'long term usage of wearable devices might lead to user skin irritations']"
82,6,82_immunological_autoimmune_reactions_viral,"['immunological', 'autoimmune', 'reactions', 'viral', 'autoantibodies', 'infection', 'factors', 'increased', '', '']","['immunological factors', 'autoimmune reactions', 'autoimmune reactions']"
83,6,83_farmers_advantage_middlemen_access,"['farmers', 'advantage', 'middlemen', 'access', 'information', 'taking', 'lack', 'date', 'relevant', 'often']","['middlemen taking advantage of farmers lack of access to information', 'middlemen taking advantage of the farmers lack of access to information', 'middlemen taking advantage of the farmers lack of access to information']"
84,6,84_perception_image_acceptance_elders,"['perception', 'image', 'acceptance', 'elders', 'issues', 'due', 'elder', 'use', 'growing', 'limited']","[""limited acceptance and use due to elders' perception and image issues"", ""limited acceptance and use due to elders' perception and image issues"", ""limited acceptance and use due to elders' perception and image issues""]"
85,6,85_reattachment_wears_patience_device,"['reattachment', 'wears', 'patience', 'device', 'lost', 'secured', 'removing', 'clamping', 'embarrassing', 'repeated']","['risks the device being lost', 'position of the clamping device is not secured', 'repeated removing/reattachment wears down both the device and patience of the user']"
86,6,86_death_seizures_illness_epileptic,"['death', 'seizures', 'illness', 'epileptic', 'mortality', 'sudden', '', '', '', '']","['death', 'sudden illness', 'epileptic seizures']"
87,6,87_felt_anxiety_ones_loved,"['felt', 'anxiety', 'ones', 'loved', 'disabled', 'living', 'by', 'alone', 'their', 'elderly']","['anxiety felt by their loved ones', 'anxiety felt by their loved ones', 'anxiety felt by their loved ones']"
88,6,88_limit_wheels_collapsible_storable,"['limit', 'wheels', 'collapsible', 'storable', 'assistive', 'lightweight', 'which', 'device', 'mobility', 'easily']","[""conditions which limit the patient's mobility"", 'wheels may make the ambulatory assist device move more quickly', 'need for a lightweight, easily collapsible, portable, and storable assistive mobility device']"
89,6,89_memory_reduction_function_cognitive,"['memory', 'reduction', 'function', 'cognitive', 'short', 'increasing', 'loss', 'long', 'term', 'age']","['reduction in memory and cognitive function', 'reduction in memory and cognitive function', 'reduction in memory and cognitive function']"
90,6,90_stroke_attack_heart_,"['stroke', 'attack', 'heart', '', '', '', '', '', '', '']","['stroke', 'stroke', 'stroke']"
91,6,91_distress_stressors_prompt_coping,"['distress', 'stressors', 'prompt', 'coping', 'great', 'various', 'possible', 'personal', 'treatment', 'success']","['individual in distress', 'distress', 'distress']"
92,6,92_nervous_integrated_central_functions,"['nervous', 'integrated', 'central', 'functions', 'irreversible', 'system', 'loss', 'function', 'of', '']","['loss of integrated central nervous system functions', 'loss of integrated central nervous system functions', 'loss of integrated central nervous system functions']"
93,6,93_eat_forgetting_forgetfulness_to,"['eat', 'forgetting', 'forgetfulness', 'to', '', '', '', '', '', '']","['forgetting to eat', 'forgetting to eat', 'forgetting to eat']"
94,6,94_lifted_frequently_transferred_must,"['lifted', 'frequently', 'transferred', 'must', 'lifts', 'reluctance', 'be', 'use', 'bulky', 'generally']","['must be frequently lifted and transferred', 'must be frequently lifted and transferred', 'must be frequently lifted and transferred']"
95,6,95_preeclampsia_hypertensive_disorders_leading,"['preeclampsia', 'hypertensive', 'disorders', 'leading', 'cause', 'pregnancy', 'of', '', '', '']","['preeclampsia', 'preeclampsia', 'preeclampsia']"
96,5,96_strain_bending_knee_upper,"['strain', 'bending', 'knee', 'upper', 'wrist', 'body', '', '', '', '']","['knee bending', 'upper body strain', 'upper body strain']"
97,5,97_disorders_cognitive_related_function,"['disorders', 'cognitive', 'related', 'function', '', '', '', '', '', '']","['related cognitive disorders', 'related cognitive disorders', 'related cognitive disorders']"
98,5,98_investment_sophistication_determine_vehicles,"['investment', 'sophistication', 'determine', 'vehicles', 'needed', 'appropriate', 'transfers', 'lack', 'balance', 'of']","['lack of sophistication needed to determine appropriate investment vehicles', 'lack of sophistication needed to determine appropriate investment vehicles', 'lack of sophistication needed to determine appropriate investment vehicles']"
99,5,99_negative_effects_caretaker_psychological,"['negative', 'effects', 'caretaker', 'psychological', 'influences', 'undesirable', 'physiological', 'on', 'levels', 'mother']","['negative physiological effects on the patient', 'negative psychological effects on the patient', 'negative psychological effects on the patient']"
100,5,100_wheelchair_vehicle_provision_brace,"['wheelchair', 'vehicle', 'provision', 'brace', 'scooters', 'elevated', 'capability', 'cross', 'tilt', 'foldable']","['moving the user from the wheelchair to a vehicle may be difficult', 'traditional cross-brace of a foldable wheelchair with no seat tilt capability', 'moving the user from the wheelchair to a vehicle may be difficult']"
101,5,101_experiencing_alone_higher_being,"['experiencing', 'alone', 'higher', 'being', 'an', 'emergency', 'faced', 'might', 'risk', 'problem']","['higher risk of being alone and experiencing an emergency', 'higher risk of being alone and experiencing an emergency', 'higher risk of being alone and experiencing an emergency']"
102,5,102_heart_attack_coronary_disease,"['heart', 'attack', 'coronary', 'disease', 'events', '', '', '', '', '']","['heart disease', 'heart attack', 'heart attack']"
103,5,103_personal_existing_connection_response,"['personal', 'existing', 'connection', 'response', 'wearable', 'bluetooth', 'pers', 'systems', 'fi', 'wi']","['existing personal emergency response systems (pers) are wearable devices', 'existing personal emergency response systems are wearable devices', 'existing personal emergency response systems are wearable devices']"
104,5,104_activity_evaluating_patterns_valid,"['activity', 'evaluating', 'patterns', 'valid', 'minimum', 'physical', 'measuring', 'wear', 'challenging', 'amount']","['minimum amount of wear time is required for valid assessment of physical activity', 'monitoring and evaluating physical activity patterns', 'monitoring and evaluating physical activity patterns']"
105,5,105_variable_potential_term_implantation,"['variable', 'potential', 'term', 'implantation', 'development', 'ill', 'defined', 'often', 'for', 'and']","['variable potential for implantation and development to term', 'variable potential for implantation and development to term', 'variable potential for implantation and development to term']"
106,5,106_mainly_experiencing_used_pers,"['mainly', 'experiencing', 'used', 'pers', 'after', 'wearable', 'relative', 'fall', 'stumble', 'ambulatory']","['wearable pers are used mainly after experiencing a fall', 'wearable pers are used mainly after experiencing a fall', 'wearable pers are used mainly after experiencing a fall']"
107,5,107_noisy_inherently_images_biological,"['noisy', 'inherently', 'images', 'biological', 'boundaries', 'missing', 'nature', 'cell', 'false', 'or']","['inherently noisy nature of biological images', 'inherently noisy nature of biological images', 'inherently noisy nature of biological images']"
108,5,108_occupational_worker_givers_injuries,"['occupational', 'worker', 'givers', 'injuries', 'work', 'care', 'related', 'to', 'the', '']","['worker injuries', 'occupational injuries to the care givers', 'occupational injuries to the care givers']"
109,5,109_efficient_proper_providing_mistreatment,"['efficient', 'proper', 'providing', 'mistreatment', 'individuals', 'care', 'for', 'person', 'and', 'in']","['providing proper and efficient care for individuals', 'providing proper and efficient care for individuals', 'providing proper and efficient care for individuals']"
110,5,110_capacity_decreased_reduced_mental,"['capacity', 'decreased', 'reduced', 'mental', 'activity', '', '', '', '', '']","['reduced capacity', 'reduced capacity', 'reduced capacity']"
111,5,111_morphological_subjective_inaccurate_assessment,"['morphological', 'subjective', 'inaccurate', 'assessment', 'predictive', 'poorly', 'morphologic', 'evaluations', 'nature', 'imaging']","['subjective morphological evaluations', 'subjective and inaccurate nature of morphological assessment', 'subjective and inaccurate nature of morphological assessment']"
112,5,112_ulcers_sores_pressure_dyspareunia,"['ulcers', 'sores', 'pressure', 'dyspareunia', 'painful', 'bed', 'or', '', '', '']","['pressure ulcers', 'painful pressure ulcers or bed sores', 'pressure ulcers']"
113,5,113_loneliness_relief_anxiety_and,"['loneliness', 'relief', 'anxiety', 'and', 'of', '', '', '', '', '']","['relief of loneliness and anxiety', 'relief of loneliness and anxiety', 'relief of loneliness and anxiety']"
114,5,114_decrease_cognitive_ability_mobility,"['decrease', 'cognitive', 'ability', 'mobility', 'impaired', 'or', 'in', '', '', '']","['decrease in mobility or cognitive ability', 'decrease in mobility or cognitive ability', 'decrease in mobility or cognitive ability']"
115,5,115_frailty_diagnosis_diagnose_developing,"['frailty', 'diagnosis', 'diagnose', 'developing', 'unmet', 'methods', 'systems', 'devices', 'need', 'in']","['frailty', 'frailty', 'frailty']"
