entity_text,keyword_1
bonding these outer walls to one another with a bonding material,"outer walls  
bonding material"
decrease a temperature difference between the center of an outer segment and the vicinity of a coating material,"temperature difference  
outer segment  
coating material"
internal combustion engine,internal combustion engine
boiler,boiler
chemical reaction device,chemical reaction device
reformer for a fuel cell,fuel cell
trap filter of fine particles in an exhaust gas,"trap filter  
fine particles  
exhaust gas"
diesel engine,diesel engine
complex mixture of emissions,"complex mixture  
emission"
gaseous compounds,gaseous compounds
particulate matter exhausted to the environment,"particulate matter  
environment"
harmful nox,harmful nox
nox gas exhausted to the environment,"nox gas  
environment"
exhaust emission control system,exhaust emission control
dual path flow for purifying exhaust gas discharge,"dual path flow  
exhaust gas discharge"
valve arrangement configured to regulate the flow of exhaust,"valve arrangement  
flow  
exhaust"
at least one sensor configured to sense a parameter indicative of a constituent of the exhaust,"sensor  
parameter  
constituent  
exhaust"
controller in communication with the valve and the at least one sensor,"controller  
communication  
valve  
sensor"
internal combustion engine,internal combustion engine
engine manufacturers,engine manufacturers
