entity_text,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6
maximum conversion,maximum conversion,,,,,
rapid diesel oxidation catalyst heating system,diesel oxidation catalyst,oxidation catalyst heating system,heating system,,,
methods and systems for rapidly achieving an effective operating temperature,method,system,effective operating temperature,,,
heavy-duty vehicles,heavy-duty vehicle,,,,,
internal combustion engine,internal combustion engine,,,,,
particulate matter,particulate matter,,,,,
pollution,pollution,,,,,
social problem,social problem,,,,,
large draft loss,large draft loss,,,,,
clogging,clogging,,,,,
decreased life of the filter,life,filter,,,,
generation of yellow smokes,generation,yellow smoke,,,,
secondary pollution,secondary pollution,,,,,
particulate matter-containing exhaust emission controlling filter,particulate matter,exhaust emission,emission controlling filter,containing exhaust emission,particulate matter-containing exhaust emission,
exhaust emission controlling method,exhaust emission,emission controlling method,,,,
exhaust emission controlling device,exhaust emission,emission controlling device,,,,
particulate matter removing filter,particulate matter,removing filter,,,,
exhaust gas purifying method,exhaust gas,purifying method,,,,
exhaust gas purifying device,exhaust gas,purifying device,,,,
diesel engine,diesel engine,,,,,
various industries,various industry,,,,,
diesel engine makers,diesel engine,engine maker,,,,
car makers,car maker,,,,,
nitrogen oxide emissions,nitrogen oxide emission,,,,,
deleterious effects of air pollution,deleterious effect,air pollution,,,,
harmful byproducts,harmful byproduct,,,,,
nitrogen oxides,nitrogen oxide,,,,,
ground-level ozone,ground-level ozone,,,,,
asthma,asthma,,,,,
respiratory ailments,respiratory ailment,,,,,
soot formation,soot formation,,,,,
serious health effects,serious health effect,,,,,
acid rain,acid rain,,,,,
deterioration of coastal estuaries,deterioration,coastal estuary,,,,
low activity of existing catalyst systems,low activity,existing catalyst system,,,,
narrow region of working temperatures,narrow region,working temperature,,,,
low stability to water,low stability,water,,,,
poor selectivity towards n2,poor selectivity,n2,,,,
catalyst system for the reduction of nox,catalyst system,reduction of nox,,,,
multi-component catalyst,multi-component catalyst,,,,,
selective catalytic reduction (scr),selective catalytic reduction,scr,,,,
catalyst in a first zone,catalyst,first zone,,,,
catalyst in a second zone,catalyst,second zone,,,,
gas stream comprising an organic reductant,gas stream,organic reductant,,,,
regulatory agencies,regulatory agency,,,,,
environment,environment,,,,,
removing nitrogen oxides (nox) present in exhaust gases,nitrogen oxide,nox,exhaust gas,,,
cold to hot nitrogen oxides can be efficiently reduced,nitrogen oxide,,,,,
low concentration of nitrogen oxides,low concentration,nitrogen oxide,,,,
temperature of exhaust gas needs to be raised to 300Â° c. or above,temperature,exhaust gas,temperature of exhaust gas,,,
overall equipment becomes complicated,overall equipment,,,,,
increase in equipment cost,equipment cost,,,,,
workability for replacement of the catalyst bed is reduced,workability,replacement,catalyst bed,,,
additional heater is required,additional heater,,,,,
marked increase in removal cost,increase,removal cost,,,,
environmental problems to improve the efficiency of removal of nitrogen oxides,environmental problem,efficiency,removal,nitrogen oxide,,
denitration technique,denitration technique,,,,,
heat-treated active carbon,heat-treated active carbon,,,,,
process for producing an active carbon for use in the denitration of exhaust gas,process,active carbon,denitration,exhaust gas,,
denitration method,denitration method,,,,,
first denitration system using active carbon,first denitration system,active carbon,,,,
second denitration system using active carbon,second denitration system,active carbon,,,,
exhaust gases from boilers,exhaust gas,boiler,,,,
exhaust gases from road tunnels,exhaust gas,road tunnel,,,,
nitric acid production plants,nitric acid,production plant,,,,
gases containing nitrogen oxides,gas,nitrogen oxide,,,,
sulfur dioxide,sulfur dioxide,,,,,
hydrogen cyanide,hydrogen cyanide,,,,,
hydrogen sulfide,hydrogen sulfide,,,,,
toxicity and smell of sulphur compounds,toxicity,smell,sulphur compound,,,
catalyst poisoning,catalyst poisoning,,,,,
clogging due to the solidification of sulphur,solidification,solidification of sulphur,sulphur,,,
corrosion due to the formation of sulfuric acid,corrosion,formation,sulfuric acid,,,
high concentration of h2s in the treated gas,high concentration,h2s,treated gas,,,
corrosive nox compounds,corrosive nox compound,,,,,
"process for the removal of so2, hcn and h2s",process,removal,so2,hcn,h2s,
hydrogenation step,hydrogenation step,,,,,
hydrolysis step,hydrolysis step,,,,,
ammonia removal step,ammonia removal step,,,,,
hydrogen sulfide removal step,hydrogen sulfide removal,removal step,,,,
aqueous alkaline washing liquid,aqueous alkaline washing liquid,,,,,
oxidation bioreactor,oxidation bioreactor,,,,,
sulfide oxidizing bacteria,sulfide oxidizing bacteria,,,,,
gas streams from industrial chemical processes,gas stream,industrial chemical process,,,,
filtration of particles,filtration,particle,,,,
soot produced by the combustion of a diesel fuel,soot,combustion,diesel fuel,combustion of a diesel fuel,,
micro-cracks,micro-crack,,,,,
severe loss of the filtration capabilities,loss,filtration capability,,,,
weight increase of the filters,weight increase,filter,,,,
increased thermal inertia of the filter,thermal inertia,thermal inertia of the filter,filter,,,
excess consumption during the regeneration phases,excess consumption,regeneration phase,,,,
monolithic honeycomb element,monolithic honeycomb element,,,,,
increased thickness at the corners,increased thickness,corner,,,,
periodic undulation of the walls of the inner channels,periodic undulation,wall,inner channel,,,
assembly of a plurality of monolithic elements,assembly,plurality,monolithic element,plurality of monolithic elements,,
joint cement,joint cement,,,,,
internal combustion engine,internal combustion engine,,,,,
motor vehicle exhaust lines,motor vehicle,exhaust line,,,,
presence of particulate matter,particulate matter,,,,,
serious hazard with respect to the environment,serious hazard,environment,,,,
personal health and safety of individuals exposed to it,personal health,safety,individuals,,,
dust,dust,,,,,
large quantities of water may be needed,large quantity,water,,,,
decrease of its specific heating value,specific heating value,,,,,
water loses its effectiveness upon evaporation,water,effectiveness,evaporation,,,
not immediately effective,(empty list),,,,,
excessive aromatic or other materials,excessive aromatic material,other material,,,,
dust suppressant composition,dust suppressant composition,,,,,
"aqueous solution of polyvinyl alcohol, acrylic-based latex, glycerin, silicone based surfactant and a polysiloxane-based wetting agent",aqueous solution,polyvinyl alcohol,acrylic-based latex,silicone based surfactant,polysiloxane-based wetting agent,
polymer film over the dusting material,polymer film,dusting material,,,,
low surface tension resulting in better wetting of the particulates and agglomeration of the material,low surface tension,better wetting,the particulate,agglomeration,the material,
individuals,individual,,,,,
environment,environment,,,,,
hazards of nitrogen oxides,hazard,nitrogen oxide,,,,
formation of acid rain,formation,acid rain,,,,
formation of tropospheric ozone,formation,tropospheric ozone,,,,
strict standards limiting the discharges of these chemical species,strict standard,discharge,chemical species,,,
increased levels of sulfur trioxide,level,sulfur trioxide,,,,
fouling of downstream equipment,fouling,downstream equipment,,,,
visible plume at the exhaust stack,visible plume,exhaust stack,,,,
increase particulate matter emissions,particulate matter emission,,,,,
heterogeneous distribution of nh3/nox,heterogeneous distribution,nh3,nox,,,
difficult to attain a consistent molar ratio of nh3/nox,consistent molar ratio,nh3/nox,,,,
undesirable ammonia slip,undesirable ammonia slip,,,,,
undesirable oxidation of sulfur dioxide,undesirable oxidation,sulfur dioxide,,,,
"compositions, systems, and methods for achieving high efficiencies of nitrogen oxide removal",composition,system,method,high efficiency,nitrogen oxide removal,
removing nitrogen oxides from exhaust gases,nitrogen oxide,exhaust gas,,,,
denitrification or selective catalytic reduction (scr) technology,denitrification,selective catalytic reduction,scr technology,,,
catalyst responsible for conducting the reduction of nitrogen oxides,catalyst,reduction,nitrogen oxide,,,
ammonia decomposition catalyst layer,ammonia decomposition,catalyst layer,,,,
nitrogen oxide reduction catalyst layer,nitrogen oxide,reduction catalyst,catalyst layer,,,
monolithic structural catalyst body,monolithic structural catalyst body,,,,,
catalytically active metal functional group comprising ruthenium,catalytically active metal,metal functional group,functional group,ruthenium,,
systems for removing nitrogen oxides from an exhaust gas,system,nitrogen oxide,exhaust gas,,,
stationary combustion sources,stationary combustion source,,,,,
mobile combustion sources,mobile combustion source,,,,,
ever-increasing amounts of combustion by-products being emitted,combustion by-product,,,,,
need to reduce emission levels,emission level,,,,,
"levels of oxides of nitrogen (nox), hydrocarbons (hc), carbon monoxide (co), and smoke must be reduced drastically",levels of oxide,nitrogen,hydrocarbon,carbon monoxide,smoke,
higher levels of nox and particulate emissions,higher level,nox,particulate emission,,,
successful implementation of nox adsorber technology has proven difficult,nox adsorber technology,successful implementation,,,,
nox adsorbers must have very high loadings of expensive noble metals,nox adsorber,high loading,expensive noble metal,,,
effectiveness of nox adsorber technology in very low temperature conditions is questionable,nox adsorber technology,very low temperature condition,,,,
catalyst of a nox adsorber is poisoned by sulfur,catalyst,nox adsorber,sulfur,,,
high mechanical loading of engine parts due to a higher peak cylinder pressure,mechanical loading,engine part,peak cylinder pressure,,,
engine components having commonly used material compositions may not be able to withstand these higher pressures,engine component,material composition,higher pressure,,,
method of operating an internal combustion engine,method,internal combustion engine,method of operating,,,
switching operation of the engine to a second combustion mode,switching operation,engine,second combustion mode,,,
directing an exhaust stream of the engine into contact with a nox adsorber,exhaust stream,engine,nox adsorber,,,
homogeneous charge compression ignition (hcci) combustion,homogeneous charge compression ignition,hcci combustion,,,,
internal combustion engine,internal combustion engine,,,,,
transportation infrastructure,transportation infrastructure,,,,,
society,society,,,,,
governments around the world,government,,,,,
sulfur poisoning of the nitrogen oxide store,sulfur poisoning,nitrogen oxide store,,,,
nitrogen oxides,nitrogen oxide,,,,,
high exhaust gas temperatures,exhaust gas temperature,,,,,
hydrocarbon emissions,hydrocarbon emission,,,,,
carbon monoxide emissions,carbon monoxide emissions,,,,,
method for operating an exhaust-gas cleaning unit,method,exhaust-gas cleaning unit,,,,
combined soot and sulfur regeneration phase,soot,sulfur regeneration phase,regeneration phase,,,
oxidation catalytic converter,oxidation,catalytic converter,,,,
lambda probe,lambda probe,,,,,
diesel engines,diesel engine,,,,,
motor vehicles,motor vehicle,,,,,
nox reduction,nox reduction,,,,,
low temperature operation,low temperature operation,,,,,
deactivation of the noble metal catalyst,deactivation,noble metal,metal catalyst,noble metal catalyst,,
sulfur-poisoning,sulfur-poisoning,,,,,
insufficient nox reduction effect,nox reduction effect,,,,,
nox purifying catalyst,nox purifying catalyst,,,,,
first catalytic layer,catalytic layer,,,,,
second catalytic layer,second catalytic layer,,,,,
rich/lean control of the air-fuel ratio,rich/lean control,air-fuel ratio,,,,
Î²-zeolite having iron and/or cerium elements,β-zeolite,iron element,cerium element,,,
noble metal and cerium oxide-based material,noble metal,cerium oxide-based material,,,,
automobiles,automobile,,,,,
internal combustion engine,internal combustion engine,,,,,
nox-containing exhaust gases,nox-containing exhaust gas,,,,,
tightening of exhaust gas limit values,exhaust gas,limit value,,,,
after-treatment of the exhaust gas is absolutely necessary for removing nitrogen oxides,after-treatment,exhaust gas,nitrogen oxide,,,
quality differences,quality difference,,,,,
complicated filtration and/or purification processes,filtration process,purification process,,,,
poor short- and long-term activities in the reduction of nox-containing offgases,short-term activity,long-term activity,reduction,nox-containing offgase,,
risk of poisoning of the nox sorbents by the sulphur oxides,risk,poisoning,nox sorbent,sulphur oxide,,
complicated engine management strategies,engine management strategy,,,,,
toxicological concerns,toxicological concern,,,,,
high offgas temperatures,offgas temperature,,,,,
effectiveness of the catalyst,effectiveness,catalyst,,,,
process for producing an scr catalyst,process,scr catalyst,process for producing,process for producing an scr catalyst,,
catalyst for use in a selective reduction of nox,catalyst,selective reduction,nox,,,
process for the selective reduction of nox,selective reduction,nox,,,,
applying an iron salt solution to a support layer,iron salt solution,support layer,,,,
using the reducing agent ammonia,reducing agent,ammonia,,,,
producing reproducible catalysts having constant good properties,reproducible catalyst,constant good property,,,,
calcined in air,air,,,,,
applying an amount of iron oxide to the support layer,amount of iron oxide,support layer,,,,
"comprises a substrate body, a support layer, an active layer",substrate body,support layer,active layer,,,
"promoters tungsten, zirconium and/or molybdenum",promoter tungsten,promoter zirconium,promoter molybdenum,,,
internal combustion engines,internal combustion engine,,,,,
motor vehicles equipped with diesel engines,motor vehicle,diesel engine,,,,
nox sorbents,nox sorbent,,,,,
particulate matter,particulate matter,,,,,
harmful effects on the environment,harmful effect,environment,,,,
harmful effects on human being,harmful effect,human being,,,,
honeycomb filter,honeycomb filter,,,,,
honeycomb fired bodies,honeycomb,fired body,,,,
adhesive material,adhesive material,,,,,
internal combustion engines,internal combustion engine,,,,,
vehicles,vehicle,,,,,
buses,bus,,,,,
trucks,truck,,,,,
construction machines,construction machine,,,,,
nitrogen oxides,nitrogen oxide,,,,,
harmful nitrogen oxides,harmful nitrogen oxide,,,,,
deterioration of catalyst,deterioration,catalyst,,,,
presence of sulfur oxides,presence,sulfur oxide,,,,
environmental pollution,environmental pollution,,,,,
deterioration in catalytic activity at low temperatures,catalytic activity,low temperature,,,,
low decomposition activity for nox,low decomposition activity,nox,,,,
low conversion rate of nitrogen oxides to nitrogen,conversion rate,nitrogen oxide,nitrogen,,,
deterioration of nox storage-reduction system,deterioration,nox storage-reduction system,,,,
method for catalytic reduction of nitrogen oxides,catalytic reduction,nitrogen oxide,,,,
catalytic reactor,catalytic reactor,,,,,
nox storage-reduction system,nox storage-reduction system,,,,,
catalyst with high sox durability,catalyst,sox durability,,,,
automobiles,automobile,,,,,
vehicles with lean burn engines,vehicle,lean burn engine,,,,
emission of pollutants,emission,pollutant,,,,
blocking of the filter,blocking,filter,,,,
increase in flow resistance,flow resistance,,,,,
reduction in engine performance,reduction,engine performance,,,,
high energy demand of a purely thermal regeneration,high energy demand,purely thermal regeneration,,,,
exhaust gas temperatures in excess of 355Â° c.,exhaust gas temperature,temperature in excess,excess of 355Â° c,,,
limited extent for the practical use in vehicles,practical use,vehicle,,,,
particulate filter comprising a finely dispersed catalyst,particulate filter,finely dispersed catalyst,,,,
method for producing the particulate filter,method,particulate filter,,,,
self-cleaning of self-regenerating particle filters,self-cleaning,self-regenerating particle filter,,,,
depth filter,depth filter,,,,,
electric heater,electric heater,,,,,
diesel engines,diesel engine,,,,,
vehicles,vehicle,,,,,
nox emissions from diesel engines,nox emission,diesel engine,,,,
environmental problem,environmental problem,,,,,
regulations pending that will limit nox emissions,regulation,nox emission,,,,
exhaust is generally too oxygen-rich for three-way catalysts to be effective,exhaust,oxygen-rich,three-way catalyst,,,
peak nox conversion efficiencies for lean-burn catalysts are unacceptably low,peak nox conversion efficiency,lean-burn catalyst,,,,
lack of infrastructure for distributing ammonia or a suitable precursor,lack of infrastructure,infrastructure for distributing ammonia,distributing ammonia,suitable precursor,,
possible release of ammonia into the environment,release of ammonia,ammonia,environment,,,
accumulating sox,sox,,,,,
significant amount of sox produced by combustion,significant amount,sox,combustion,,,
desulfation requires elevated temperatures as well as a reducing atmosphere,desulfation,elevated temperature,reducing atmosphere,,,
long felt need for an affordable and reliable exhaust treatment system,long felt need,affordable and reliable exhaust treatment system,exhaust treatment system,,,
desulfation methods for an exhaust treatment system,desulfation method,exhaust treatment system,,,,
control strategy that applies to the above-described system,control strategy,above-described system,,,,
methods of desulfating a lnt,method,desulfating,lnt,,,
reducing environment for lnt regeneration,reducing environment,lnt regeneration,,,,
diesel engines,diesel engine,,,,,
lean burn gasoline engines,lean burn gasoline engine,,,,,
manufacturers,manufacturer,,,,,
researchers,researcher,,,,,
u.s. environmental protection agency (epa),u.s. environmental protection agency,epa,,,,
vehicles,vehicle,,,,,
exhaust emission standards,exhaust emission standard,,,,,
particulate matter,particulate matter,,,,,
reduced functionality of the filter,reduced functionality,functionality of the filter,filter,,,
insufficient temperature of the exhaust,insufficient temperature,exhaust,,,,
costly and problematic system,costly system,problematic system,,,,
wasted additive,wasted additive,,,,,
excessive amounts of ash,excessive amount,ash,,,,
reduced maintenance interval,maintenance interval,,,,,
exhaust treatment system,exhaust treatment system,,,,,
supply of catalyst,supply,catalyst,,,,
injector operable to selectively pass catalyst,injector,catalyst,,,,
controller configured to determine a temperature,controller,temperature,,,,
method of treating exhaust,method,exhaust,,,,
internal combustion engines,internal combustion engine,,,,,
vehicle owner,vehicle owner,,,,,
sulfur poisoning of nox occlusion reduction type catalyst,sulfur poisoning,nox occlusion,reduction type catalyst,,,
evenness of temperature in the catalyst,evenness of temperature,temperature,catalyst,,,
generation of hydrogen sulfide,generation,hydrogen sulfide,,,,
extreme thermal deterioration of catalyst,thermal deterioration,catalyst,,,,
high costs and catalyst deterioration,high cost,catalyst deterioration,,,,
sulfur purge control method,sulfur purge control method,,,,,
air fuel ratio control for sulfur purge,air fuel ratio,sulfur purge,,,,
nox occlusion reduction type catalyst,nox occlusion,reduction type,type catalyst,,,
oxidation catalyst,oxidation catalyst,,,,,
nox occlusion reduction type catalyst,nox occlusion,reduction type,type catalyst,,,
exhaust gas purification system,exhaust gas purification system,,,,,
internal combustion engine,internal combustion engine,,,,,
low thermal shock,thermal shock,,,,,
crack is easily generated in the filter,crack,filter,,,,
fine particles trapped in the filter are not completely burnt,fine particle,filter,,,,
poor efficiency in treating the exhaust gas,poor efficiency,exhaust gas,,,,
temperature difference in the ceramic structure,temperature difference,ceramic structure,,,,
temperature in the vicinity of the coating material of the outer segment does not easily rise,temperature,vicinity,coating material,outer segment,,
soot of the corresponding portion is not easily completely burnt,soot,corresponding portion,,,,
strength of the coating material lowers,strength,coating material,,,,
coating material is cracked,coating material,,,,,
honeycomb structure,honeycomb structure,,,,,
integration of a plurality of porous honeycomb segments,plurality,porous honeycomb segment,integration,,,
bonding these outer walls to one another with a bonding material,outer wall,bonding material,,,,
decrease a temperature difference between the center of an outer segment and the vicinity of a coating material,temperature difference,center of an outer segment,vicinity of a coating material,,,
internal combustion engine,internal combustion engine,,,,,
boiler,boiler,,,,,
chemical reaction device,chemical reaction device,,,,,
reformer for a fuel cell,reformer,fuel cell,,,,
trap filter of fine particles in an exhaust gas,trap filter,fine particle,exhaust gas,,,
