topic,keywords,count
130,"development, hurdles, lack, opportunities, poor",7
131,"bad, behavioral, changes, loss, smell",7
132,"assessment, criteria, inaccurate, morphological, subjective",5
133,"bed, chair, compromising, confined, difficulty",4
134,"arrested, blastocyst, controversial, development, transfer",7
135,"ambulatory, body, limited, strength, upper",4
136,"broken, common, fractures, hip, hips",4
137,"blood, dangerously, decrease, high, low",4
138,"ambulance, damage, disasters, emergency, natural",5
139,"2012, 30b, associated, costs, falls",4
140,"art, assistance, devices, disadvantages, prior",5
141,"anti, autoimmune, factors, immunological, reactions",6
142,"adverse, conditions, factors, heat, weather",4
143,"able, benefit, electronic, exists, technologies",4
144,"aid, delay, emergency, response, times",4
145,"certain, countries, crime, illegal, limited",3
146,"complicated, confused, inject, injecting, patients",3
147,"assistance, departments, interoperability, lack, limited",3
148,"biological, images, inherently, nature, noisy",6
149,"disruptive, frequent, periods, rest, used",3
150,"75, fall, falls, pre, quality",3
151,"built, incontinence, medical, necessities, needs",5
152,"adequate, automated, based, camera, imaging",3
153,"90, errors, healthcare, make, medication",4
154,"arthritis, decreased, impairments, inflammation, orthopedic",5
155,"anxiety, disabled, existence, loneliness, relief",6
156,"based, current, motion, pedestrian, speed",3
157,"bent, care, carer, fall, floor",3
158,"accidental, average, causes, death, seniors",3
159,"difficult, functional, grading, maximal, performance",3
160,"alignment, postural, provide, support, systems",3
161,"assisted, facilities, high, living, staff",3
162,"decreased, difficulty, drawbacks, impact, independence",3
163,"adjustable, different, difficult, heavy, user",4
164,"adequate, approaches, challenging, dangerous, terrain",3
165,"aggravated, assault, rape",6
166,"infection, infections, nosocomial, risk, unknown",3
167,"boundaries, cell, changing, deformation, division",6
168,"disabling, drawbacks, including, sensor, tilt",2
169,"culture, isolation, medium, single, social",2
170,"calculation, current, data, evaluation, far",2
171,"antiquated, data, large, radio, transmitted",2
172,"tormenting, vulgarity",4
173,"body, decline, degradation, functional, functions",2
174,"developing, devices, diagnose, diagnosis, frailty",2
175,"hormone, lh, luteinizing, premature, surges",2
176,"affront, autonomy, care, dependence, perceive",2
177,"bed, falling, injuries, patient, resulting",3
178,"caregivers, lack, real, remote, time",3
179,"23, admissions, home, homes, nursing",3
180,"activated, activation, fixed, manually, points",4
