entity_text,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5
united states,united states,,,,
nox emissions,nox emission,,,,
increased combustion temperatures,combustion temperature,,,,
require additional hardware and control schemes,[],,,,
effectiveness of this method decreases significantly at an exhaust temperature below 400Â° c,exhaust temperature,,,,
"infrastructure-related problems associated with storage, transport, and handling of ammonia",infrastructure,storage,transport,handling,ammonia
un-reacted ammonia may pass through the scr and be exhausted into the atmosphere,ammonia,scr,atmosphere,,
requires replenishing urea on-board the vehicle,urea,vehicle,,,
freezing point of the urea solution is ??2Â° c,freezing point,urea solution,,,
require a large catalyst volume and a substantial mass of expensive platinum-group metals,catalyst volume,platinum-group metal,,,
periodic intrusive operation of the engine to regenerate the catalyst,engine,catalyst,operation,,
hydrocarbons present in diesel and gasoline engine exhaust require high temperatures for adequate nox conversion,hydrocarbon,diesel engine,gasoline engine,exhaust,nox conversion
"diesel fuel as well as long, straight-chain hydrocarbons are only adequate above a catalyst temperature of about 300Â° c",diesel fuel,hydrocarbon,catalyst,temperature,
these species are not readily available in engine exhaust streams,species,engine exhaust,,,
supplemental heating of the exhaust may not be suitable for practical engine exhaust systems on a vehicle,supplemental heating,exhaust,engine,vehicle,
any aldehydes produced in engine in-cylinder burning are oxidized in the oxidation catalyst,aldehyde,engine,in-cylinder burning,oxidation catalyst,
method and apparatus for exhaust gas purifying,exhaust gas,purification,,,
hydrocarbon-selective catalytic reduction device,hydrocarbon,catalytic reduction,device,,
injector device adapted to inject a blend of fuel and an ignition improver,injector device,fuel blend,ignition improver,,
control module adapted to control the injector device,control module,injector device,,,
internal combustion engines,internal combustion engine,,,,
clogging of the filter,filter,clogging,,,
increase in the back pressure at the exhaust,back pressure,exhaust,,,
increasing fuel consumption of the engine,fuel consumption,engine,,,
total filter clogging,filter clogging,,,,
serious engine dysfunctioning,engine dysfunction,,,,
complete engine failure,engine failure,,,,
destruction of the filter,filter,,,,
major drawback of increasing the fuel consumption,fuel consumption,,,,
costly additives,additive,,,,
significantly increases the fuel consumption of the engine,fuel consumption,engine,,,
method for regenerating a particle filter,particle filter,,,,
catalytic combustion,catalytic combustion,,,,
raising the temperature of the fluid,temperature,fluid,,,
heating said fluid by means of a heating resistor,heating resistor,fluid,,,
circulating exhaust gases around a catalytic element,exhaust gas,catalytic element,,,
adding an additive to the fuel,additive,fuel,,,
internal-combustion engine,internal combustion engine,,,,
gaseous contaminants,gaseous contaminant,,,,
limitations found in the prior art,prior art,,,,
time-consuming and expensive limitation,limitation,,,,
gas bypass and breakthrough,gas bypass,breakthrough,,,
lower activity levels of impregnated media,activity level,impregnated media,,,
onsite chemistry air filtration system,chemistry,air filtration,,,
conventional particulate filtration section,particulate filtration,,,,
photochemical filtration section,photochemical filtration,,,,
static gas phase filtration section,gas phase filtration,,,,
catalytic filtration section,catalytic filtration,,,,
dynamic onsite chemistry generation,chemistry generation,,,,
residential buildings,residential building,,,,
low rise buildings,low rise building,,,,
commercial offices,commercial office,,,,
places of business,business place,,,,
high rise buildings,high rise building,,,,
casinos,casino,,,,
ships,ship,,,,
military,military,,,,
secure buildings,building,,,,
airports,airport,,,,
mass transit vehicles,mass transit vehicle,,,,
automobiles,automobile,,,,
mining equipment,mining equipment,,,,
"pollution from new, heavy-duty diesel trucks and buses",pollution,diesel truck,bus,,
tougher emission standards,emission standard,,,,
unburned soot particles,soot particle,,,,
harmful pollutants,pollutant,,,,
minimum operating temperature value,operating temperature,,,,
maximum conversion,conversion,,,,
rapid diesel oxidation catalyst heating system,diesel oxidation catalyst,heating,,,
methods and systems for rapidly achieving an effective operating temperature,operating temperature,,,,
heavy-duty vehicles,heavy-duty vehicle,,,,
internal combustion engine,internal combustion engine,,,,
particulate matter,particulate matter,,,,
pollution,pollution,,,,
social problem,social problem,,,,
large draft loss,draft loss,,,,
clogging,clogging,,,,
decreased life of the filter,filter,life,,,
generation of yellow smokes,yellow smoke,,,,
secondary pollution,secondary pollution,,,,
particulate matter-containing exhaust emission controlling filter,particulate matter,exhaust emission,filter,,
exhaust emission controlling method,exhaust emission,,,,
exhaust emission controlling device,exhaust emission,controlling device,,,
particulate matter removing filter,particulate matter,filter,,,
exhaust gas purifying method,exhaust gas,purification,,,
exhaust gas purifying device,exhaust gas,purifying device,,,
diesel engine,diesel engine,,,,
various industries,industries,,,,
diesel engine makers,diesel engine,maker,,,
car makers,car maker,,,,
nitrogen oxide emissions,nitrogen oxide,emission,,,
deleterious effects of air pollution,air pollution,effect,,,
harmful byproducts,byproduct,,,,
nitrogen oxides,nitrogen oxide,,,,
ground-level ozone,ground-level ozone,,,,
asthma,asthma,,,,
respiratory ailments,respiratory ailment,,,,
soot formation,soot formation,,,,
serious health effects,health effect,,,,
acid rain,acid rain,,,,
deterioration of coastal estuaries,coastal estuary,deterioration,,,
low activity of existing catalyst systems,catalyst,activity,,,
narrow region of working temperatures,working temperature,region,,,
low stability to water,stability,water,,,
poor selectivity towards n2,selectivity,n2,,,
catalyst system for the reduction of nox,catalyst,nox reduction,,,
multi-component catalyst,catalyst,,,,
selective catalytic reduction (scr),selective catalytic reduction,scr,,,
catalyst in a first zone,catalyst,zone,,,
catalyst in a second zone,catalyst,zone,,,
gas stream comprising an organic reductant,gas stream,organic reductant,,,
regulatory agencies,regulatory agency,,,,
environment,environment,,,,
removing nitrogen oxides (nox) present in exhaust gases,nitrogen oxide,exhaust gas,,,
cold to hot nitrogen oxides can be efficiently reduced,nitrogen oxide,,,,
low concentration of nitrogen oxides,nitrogen oxide,concentration,,,
temperature of exhaust gas needs to be raised to 300Â° c. or above,exhaust gas,temperature,,,
overall equipment becomes complicated,equipment,,,,
increase in equipment cost,equipment cost,,,,
workability for replacement of the catalyst bed is reduced,workability,catalyst bed,,,
additional heater is required,heater,,,,
marked increase in removal cost,removal cost,,,,
environmental problems to improve the efficiency of removal of nitrogen oxides,environmental problem,nitrogen oxide,removal efficiency,,
denitration technique,denitration technique,,,,
heat-treated active carbon,active carbon,,,,
process for producing an active carbon for use in the denitration of exhaust gas,active carbon,denitration,exhaust gas,,
denitration method,[],,,,
first denitration system using active carbon,denitration,active carbon,,,
second denitration system using active carbon,denitration,active carbon,system,,
exhaust gases from boilers,exhaust gas,boiler,,,
exhaust gases from road tunnels,exhaust gas,road tunnel,,,
nitric acid production plants,nitric acid,production plant,,,
gases containing nitrogen oxides,nitrogen oxide,gas,,,
sulfur dioxide,sulfur dioxide,,,,
hydrogen cyanide,hydrogen cyanide,,,,
hydrogen sulfide,hydrogen sulfide,,,,
toxicity and smell of sulphur compounds,toxicity,smell,sulphur compound,,
catalyst poisoning,catalyst poisoning,,,,
clogging due to the solidification of sulphur,clogging,solidification,sulphur,,
corrosion due to the formation of sulfuric acid,corrosion,sulfuric acid,,,
high concentration of h2s in the treated gas,hydrogen sulfide,treated gas,concentration,,
corrosive nox compounds,corrosive compound,nox compound,,,
"process for the removal of so2, hcn and h2s",so2,hcn,h2s,removal,process
hydrogenation step,hydrogenation step,,,,
hydrolysis step,hydrolysis step,,,,
ammonia removal step,ammonia removal,,,,
hydrogen sulfide removal step,hydrogen sulfide,removal,,,
aqueous alkaline washing liquid,aqueous solution,alkaline liquid,washing liquid,,
oxidation bioreactor,oxidation bioreactor,,,,
sulfide oxidizing bacteria,sulfide oxidizing bacteria,,,,
gas streams from industrial chemical processes,gas stream,industrial chemical process,,,
filtration of particles,filtration,particle,,,
soot produced by the combustion of a diesel fuel,soot,combustion,diesel fuel,,
micro-cracks,micro-crack,,,,
severe loss of the filtration capabilities,filtration capability,loss,,,
weight increase of the filters,weight,filter,,,
increased thermal inertia of the filter,thermal inertia,filter,,,
excess consumption during the regeneration phases,consumption,regeneration phase,,,
monolithic honeycomb element,honeycomb,element,,,
increased thickness at the corners,thickness,corner,,,
periodic undulation of the walls of the inner channels,undulation,wall,channel,,
assembly of a plurality of monolithic elements,assembly,monolithic element,,,
joint cement,joint,cement,,,
internal combustion engine,internal combustion engine,,,,
motor vehicle exhaust lines,motor vehicle,exhaust line,,,
presence of particulate matter,particulate matter,,,,
serious hazard with respect to the environment,hazard,environment,,,
personal health and safety of individuals exposed to it,personal health,safety,individual,,
dust,dust,,,,
large quantities of water may be needed,water,,,,
decrease of its specific heating value,heating value,,,,
water loses its effectiveness upon evaporation,water,evaporation,effectiveness,,
not immediately effective,[],,,,
excessive aromatic or other materials,aromatic,material,,,
dust suppressant composition,dust suppressant composition,,,,
"aqueous solution of polyvinyl alcohol, acrylic-based latex, glycerin, silicone based surfactant and a polysiloxane-based wetting agent",polyvinyl alcohol,acrylic latex,glycerin,silicone surfactant,polysiloxane agent
polymer film over the dusting material,polymer film,dusting material,,,
low surface tension resulting in better wetting of the particulates and agglomeration of the material,surface tension,wetting,particulate,agglomeration,material
individuals,individual,,,,
environment,environment,,,,
hazards of nitrogen oxides,nitrogen oxide,hazard,,,
formation of acid rain,acid rain,,,,
formation of tropospheric ozone,tropospheric ozone,,,,
strict standards limiting the discharges of these chemical species,chemical species,discharge,standard,,
increased levels of sulfur trioxide,sulfur trioxide,,,,
fouling of downstream equipment,fouling,equipment,,,
visible plume at the exhaust stack,plume,exhaust stack,,,
increase particulate matter emissions,particulate matter,emission,,,
heterogeneous distribution of nh3/nox,nh3,nox,distribution,,
difficult to attain a consistent molar ratio of nh3/nox,molar ratio,nh3,nox,,
undesirable ammonia slip,ammonia slip,,,,
undesirable oxidation of sulfur dioxide,oxidation,sulfur dioxide,,,
"compositions, systems, and methods for achieving high efficiencies of nitrogen oxide removal",nitrogen oxide,efficiency,composition,,
removing nitrogen oxides from exhaust gases,nitrogen oxide,exhaust gas,,,
denitrification or selective catalytic reduction (scr) technology,denitrification,selective catalytic reduction,scr technology,,
catalyst responsible for conducting the reduction of nitrogen oxides,catalyst,reduction,nitrogen oxide,,
ammonia decomposition catalyst layer,ammonia,decomposition,catalyst layer,,
nitrogen oxide reduction catalyst layer,nitrogen oxide,reduction catalyst,catalyst layer,,
monolithic structural catalyst body,catalyst body,structure,,,
catalytically active metal functional group comprising ruthenium,metal,functional group,ruthenium,,
systems for removing nitrogen oxides from an exhaust gas,nitrogen oxide,exhaust gas,,,
stationary combustion sources,combustion source,,,,
mobile combustion sources,mobile combustion source,,,,
ever-increasing amounts of combustion by-products being emitted,combustion,by-product,,,
need to reduce emission levels,emission level,,,,
"levels of oxides of nitrogen (nox), hydrocarbons (hc), carbon monoxide (co), and smoke must be reduced drastically",oxide of nitrogen,hydrocarbon,carbon monoxide,smoke,
higher levels of nox and particulate emissions,nox,particulate emission,,,
successful implementation of nox adsorber technology has proven difficult,nox adsorber technology,,,,
nox adsorbers must have very high loadings of expensive noble metals,nox adsorber,noble metal,loading,,
effectiveness of nox adsorber technology in very low temperature conditions is questionable,nox adsorber,temperature condition,,,
catalyst of a nox adsorber is poisoned by sulfur,catalyst,nox adsorber,sulfur,,
high mechanical loading of engine parts due to a higher peak cylinder pressure,mechanical loading,engine part,cylinder pressure,,
engine components having commonly used material compositions may not be able to withstand these higher pressures,engine component,material composition,pressure,,
method of operating an internal combustion engine,internal combustion engine,,,,
switching operation of the engine to a second combustion mode,engine,combustion mode,,,
directing an exhaust stream of the engine into contact with a nox adsorber,exhaust stream,engine,nox adsorber,,
homogeneous charge compression ignition (hcci) combustion,homogeneous charge compression ignition,combustion,,,
internal combustion engine,internal combustion engine,,,,
transportation infrastructure,transportation infrastructure,,,,
society,society,,,,
governments around the world,government,,,,
sulfur poisoning of the nitrogen oxide store,sulfur poisoning,nitrogen oxide,store,,
nitrogen oxides,nitrogen oxide,,,,
high exhaust gas temperatures,exhaust gas,temperature,,,
hydrocarbon emissions,hydrocarbon,emission,,,
carbon monoxide emissions,carbon monoxide,emission,,,
method for operating an exhaust-gas cleaning unit,exhaust-gas cleaning unit,,,,
combined soot and sulfur regeneration phase,soot,sulfur,regeneration phase,,
oxidation catalytic converter,oxidation,catalytic converter,,,
lambda probe,lambda probe,,,,
diesel engines,diesel engine,,,,
motor vehicles,motor vehicle,,,,
nox reduction,nox reduction,,,,
low temperature operation,temperature,,,,
deactivation of the noble metal catalyst,noble metal,catalyst,,,
sulfur-poisoning,sulfur poisoning,,,,
insufficient nox reduction effect,nox reduction,,,,
nox purifying catalyst,nox,catalyst,,,
first catalytic layer,catalytic layer,,,,
second catalytic layer,catalytic layer,,,,
rich/lean control of the air-fuel ratio,air-fuel ratio,control,,,
Î²-zeolite having iron and/or cerium elements,β-zeolite,iron,cerium element,,
noble metal and cerium oxide-based material,noble metal,cerium oxide,material,,
automobiles,automobile,,,,
internal combustion engine,internal combustion engine,,,,
nox-containing exhaust gases,nox,exhaust gas,,,
tightening of exhaust gas limit values,exhaust gas,limit value,,,
after-treatment of the exhaust gas is absolutely necessary for removing nitrogen oxides,after-treatment,exhaust gas,nitrogen oxide,,
quality differences,quality difference,,,,
complicated filtration and/or purification processes,filtration,purification process,,,
poor short- and long-term activities in the reduction of nox-containing offgases,nox,offgas,reduction,activity,
risk of poisoning of the nox sorbents by the sulphur oxides,risk,poisoning,nox sorbent,sulphur oxide,
complicated engine management strategies,engine management strategy,,,,
toxicological concerns,toxicology,concern,,,
high offgas temperatures,offgas temperature,,,,
effectiveness of the catalyst,catalyst,,,,
process for producing an scr catalyst,scr catalyst,,,,
catalyst for use in a selective reduction of nox,catalyst,selective reduction,nox,,
process for the selective reduction of nox,selective reduction,nox,,,
applying an iron salt solution to a support layer,iron salt solution,support layer,,,
using the reducing agent ammonia,reducing agent,ammonia,,,
producing reproducible catalysts having constant good properties,catalyst,property,,,
calcined in air,air,,,,
applying an amount of iron oxide to the support layer,iron oxide,support layer,,,
"comprises a substrate body, a support layer, an active layer",substrate body,support layer,active layer,,
"promoters tungsten, zirconium and/or molybdenum",promoter,tungsten,zirconium,molybdenum,
internal combustion engines,internal combustion engine,,,,
motor vehicles equipped with diesel engines,motor vehicle,diesel engine,,,
nox sorbents,nox sorbent,,,,
particulate matter,particulate matter,,,,
harmful effects on the environment,environment,,,,
harmful effects on human being,harmful effect,human being,,,
honeycomb filter,honeycomb filter,,,,
honeycomb fired bodies,honeycomb,fired body,,,
adhesive material,adhesive material,,,,
internal combustion engines,internal combustion engine,,,,
vehicles,vehicle,,,,
buses,bus,,,,
trucks,truck,,,,
construction machines,construction machine,,,,
nitrogen oxides,nitrogen oxide,,,,
harmful nitrogen oxides,nitrogen oxide,,,,
deterioration of catalyst,catalyst,deterioration,,,
presence of sulfur oxides,sulfur oxide,,,,
environmental pollution,environmental pollution,,,,
deterioration in catalytic activity at low temperatures,catalytic activity,temperature,,,
low decomposition activity for nox,decomposition activity,nox,,,
low conversion rate of nitrogen oxides to nitrogen,nitrogen oxide,nitrogen,conversion rate,,
deterioration of nox storage-reduction system,nox storage-reduction system,deterioration,,,
method for catalytic reduction of nitrogen oxides,catalytic reduction,nitrogen oxide,,,
catalytic reactor,catalytic reactor,,,,
nox storage-reduction system,nox storage reduction,,,,
catalyst with high sox durability,catalyst,sox durability,,,
automobiles,automobile,,,,
vehicles with lean burn engines,vehicle,lean burn engine,,,
emission of pollutants,pollutant,emission,,,
blocking of the filter,filter,,,,
increase in flow resistance,flow resistance,,,,
reduction in engine performance,engine,performance,,,
high energy demand of a purely thermal regeneration,energy demand,thermal regeneration,,,
exhaust gas temperatures in excess of 355Â° c.,exhaust gas temperature,,,,
limited extent for the practical use in vehicles,vehicle,,,,
particulate filter comprising a finely dispersed catalyst,particulate filter,catalyst,,,
method for producing the particulate filter,particulate filter,,,,
self-cleaning of self-regenerating particle filters,self-cleaning,particle filter,,,
depth filter,depth filter,,,,
electric heater,electric heater,,,,
diesel engines,diesel engine,,,,
vehicles,vehicle,,,,
nox emissions from diesel engines,nox emission,diesel engine,,,
environmental problem,environmental problem,,,,
regulations pending that will limit nox emissions,regulation,nox emission,,,
exhaust is generally too oxygen-rich for three-way catalysts to be effective,exhaust,oxygen,three-way catalyst,,
peak nox conversion efficiencies for lean-burn catalysts are unacceptably low,nox conversion,lean-burn catalyst,efficiency,,
lack of infrastructure for distributing ammonia or a suitable precursor,infrastructure,ammonia,precursor,,
possible release of ammonia into the environment,ammonia,environment,,,
accumulating sox,sox,,,,
significant amount of sox produced by combustion,sox,combustion,,,
desulfation requires elevated temperatures as well as a reducing atmosphere,desulfation,temperature,atmosphere,,
long felt need for an affordable and reliable exhaust treatment system,exhaust treatment,,,,
desulfation methods for an exhaust treatment system,desulfation,exhaust treatment,,,
control strategy that applies to the above-described system,control strategy,,,,
methods of desulfating a lnt,lnt,desulfation,,,
reducing environment for lnt regeneration,environment,lnt regeneration,,,
diesel engines,diesel engine,,,,
lean burn gasoline engines,lean burn,gasoline engine,,,
manufacturers,manufacturer,,,,
researchers,[],,,,
u.s. environmental protection agency (epa),environmental protection agency,epa,,,
vehicles,vehicle,,,,
exhaust emission standards,exhaust emission standard,,,,
particulate matter,particulate matter,,,,
reduced functionality of the filter,filter,,,,
insufficient temperature of the exhaust,temperature,exhaust,,,
costly and problematic system,[],,,,
wasted additive,additive,,,,
excessive amounts of ash,ash,,,,
reduced maintenance interval,maintenance interval,,,,
exhaust treatment system,exhaust treatment,,,,
supply of catalyst,catalyst,supply,,,
injector operable to selectively pass catalyst,injector,catalyst,,,
controller configured to determine a temperature,controller,temperature,,,
method of treating exhaust,exhaust,,,,
internal combustion engines,internal combustion engine,,,,
vehicle owner,vehicle owner,,,,
sulfur poisoning of nox occlusion reduction type catalyst,sulfur poisoning,nox occlusion,reduction catalyst,,
evenness of temperature in the catalyst,temperature,catalyst,,,
generation of hydrogen sulfide,hydrogen sulfide,,,,
extreme thermal deterioration of catalyst,thermal deterioration,catalyst,,,
high costs and catalyst deterioration,catalyst,cost,,,
sulfur purge control method,sulfur purge,,,,
air fuel ratio control for sulfur purge,air fuel ratio,sulfur purge,,,
nox occlusion reduction type catalyst,nox occlusion,catalyst,,,
oxidation catalyst,oxidation catalyst,,,,
nox occlusion reduction type catalyst,nox occlusion,reduction,catalyst,,
exhaust gas purification system,exhaust gas,purification,,,
internal combustion engine,internal combustion engine,,,,
low thermal shock,thermal shock,,,,
crack is easily generated in the filter,crack,filter,,,
fine particles trapped in the filter are not completely burnt,fine particle,filter,,,
poor efficiency in treating the exhaust gas,exhaust gas,efficiency,,,
temperature difference in the ceramic structure,temperature difference,ceramic structure,,,
temperature in the vicinity of the coating material of the outer segment does not easily rise,temperature,coating material,outer segment,,
soot of the corresponding portion is not easily completely burnt,soot,,,,
strength of the coating material lowers,coating,material,strength,,
coating material is cracked,coating material,,,,
honeycomb structure,honeycomb structure,,,,
integration of a plurality of porous honeycomb segments,porous honeycomb,segment,,,
bonding these outer walls to one another with a bonding material,bonding,outer wall,bonding material,,
decrease a temperature difference between the center of an outer segment and the vicinity of a coating material,temperature difference,outer segment,coating material,,
internal combustion engine,internal combustion engine,,,,
boiler,boiler,,,,
chemical reaction device,chemical reaction,device,,,
reformer for a fuel cell,fuel cell,,,,
trap filter of fine particles in an exhaust gas,trap filter,fine particle,exhaust gas,,
diesel engine,diesel engine,,,,
complex mixture of emissions,emission,mixture,,,
gaseous compounds,gaseous compound,,,,
particulate matter exhausted to the environment,particulate matter,environment,,,
harmful nox,nox,,,,
nox gas exhausted to the environment,nox gas,environment,,,
exhaust emission control system,exhaust emission,control system,,,
dual path flow for purifying exhaust gas discharge,exhaust gas,flow,purification,,
valve arrangement configured to regulate the flow of exhaust,valve arrangement,flow,exhaust,,
at least one sensor configured to sense a parameter indicative of a constituent of the exhaust,sensor,parameter,constituent,exhaust,
controller in communication with the valve and the at least one sensor,controller,valve,sensor,communication,
internal combustion engine,internal combustion engine,,,,
engine manufacturers,engine manufacturer,,,,
