entity_text,keywords,keywords_in_abstract,keywords_in_brfsum
reduction of nox in an oxidizing atmosphere is difficult,"reduction, nox, oxidizing atmosphere",nox,"reduction, nox, oxidizing atmosphere"
"challenging to find a lean-burn nox catalyst that has the required activity, durability, and operating temperature range","lean-burn nox catalyst, activity, durability, operating temperature range",,"lean-burn nox catalyst, activity, durability, operating temperature range"
lean-burn nox catalysts tend to be hydrothermally unstable,lean-burn nox catalysts,,lean-burn nox catalysts
noticeable loss of activity occurs after relatively little use,loss of activity,,loss of activity
fuel economy penalty of 3% or more,fuel economy penalty,,fuel economy penalty
peak nox conversion efficiency with lean-burn catalysts is unacceptably low,"nox conversion efficiency, lean-burn catalysts",,"nox conversion efficiency, lean-burn catalysts"
concern over the lack of infrastructure for distributing ammonia or a suitable precursor,"infrastructure, ammonia, precursor",ammonia,"infrastructure, ammonia, precursor"
concerns relating to the possible release of ammonia into the environment,"ammonia, environment",ammonia,"ammonia, environment"
exhaust treatment system having an scr reactor downstream of a nox adsorber,"exhaust treatment system, scr reactor, nox adsorber","exhaust treatment system, scr reactor, nox adsorber","exhaust treatment system, scr reactor, nox adsorber"
syn gas from a fuel reformer is used to regenerate the nox adsorber,"syn gas, fuel reformer, nox adsorber","syn gas, nox adsorber","syn gas, fuel reformer, nox adsorber"
exhaust treatment system having an scr reactor downstream of an lnt and an ammonia source separate from the lnt,"exhaust treatment system, scr reactor, lnt, ammonia source","exhaust treatment system, scr reactor, lnt, ammonia source","exhaust treatment system, scr reactor, lnt, ammonia source"
exhaust system comprising first and second lnts and one or more scrs downstream of the lnts,"exhaust system, lnts, scrs","exhaust system, lnts, scrs","exhaust system, lnts, scrs"
device comprising first and second nox adsorbers contained in a single housing,"device, nox adsorbers, housing","device, nox adsorbers, housing","device, nox adsorbers, housing"
coating a moving part in an exhaust system with an oxidation catalyst to mitigate fouling,"exhaust system, oxidation catalyst, fouling","exhaust system, oxidation catalyst, fouling","exhaust system, oxidation catalyst, fouling"
internal combustion engines,internal combustion engines,,internal combustion engines
diesel engines,diesel engines,,diesel engines
lean burn gasoline engines,lean burn gasoline engines,,lean burn gasoline engines
manufacturers,manufacturers,,manufacturers
researchers,[],,
countries,countries,,countries
united states,united states,,united states
nox emissions,nox emissions,,nox emissions
increased combustion temperatures,combustion temperatures,,combustion temperatures
require additional hardware and control schemes,"hardware, control schemes",,"hardware, control schemes"
effectiveness of this method decreases significantly at an exhaust temperature below 400Â° c,"method, exhaust temperature",method,"method, exhaust temperature"
"infrastructure-related problems associated with storage, transport, and handling of ammonia","infrastructure-related problems, storage, transport, handling, ammonia",,"infrastructure-related problems, storage, transport, handling, ammonia"
un-reacted ammonia may pass through the scr and be exhausted into the atmosphere,"ammonia, scr, atmosphere",,"ammonia, scr, atmosphere"
requires replenishing urea on-board the vehicle,"urea, vehicle",,"urea, vehicle"
freezing point of the urea solution is ??2Â° c,"urea solution, freezing point",,"urea solution, freezing point"
require a large catalyst volume and a substantial mass of expensive platinum-group metals,"catalyst volume, platinum-group metals",,"catalyst volume, platinum-group metals"
periodic intrusive operation of the engine to regenerate the catalyst,"engine, catalyst",engine,"engine, catalyst"
hydrocarbons present in diesel and gasoline engine exhaust require high temperatures for adequate nox conversion,"hydrocarbons, diesel, gasoline engine exhaust, temperatures, nox conversion",,"hydrocarbons, diesel, gasoline engine exhaust, temperatures, nox conversion"
"diesel fuel as well as long, straight-chain hydrocarbons are only adequate above a catalyst temperature of about 300Â° c","diesel fuel, straight-chain hydrocarbons, catalyst temperature",,"diesel fuel, straight-chain hydrocarbons, catalyst temperature"
these species are not readily available in engine exhaust streams,"species, engine exhaust streams",,"species, engine exhaust streams"
supplemental heating of the exhaust may not be suitable for practical engine exhaust systems on a vehicle,"supplemental heating, exhaust, engine exhaust systems, vehicle",exhaust,"supplemental heating, exhaust, engine exhaust systems, vehicle"
any aldehydes produced in engine in-cylinder burning are oxidized in the oxidation catalyst,"aldehydes, engine in-cylinder burning, oxidation catalyst",,"aldehydes, engine in-cylinder burning, oxidation catalyst"
method and apparatus for exhaust gas purifying,"exhaust gas, purifying, method, apparatus","exhaust gas, purifying, method, apparatus","exhaust gas, purifying, method, apparatus"
hydrocarbon-selective catalytic reduction device,hydrocarbon-selective catalytic reduction device,hydrocarbon-selective catalytic reduction device,hydrocarbon-selective catalytic reduction device
injector device adapted to inject a blend of fuel and an ignition improver,"injector device, fuel, ignition improver","injector device, fuel, ignition improver","injector device, fuel, ignition improver"
control module adapted to control the injector device,"control module, injector device","control module, injector device","control module, injector device"
internal combustion engines,internal combustion engines,,internal combustion engines
clogging of the filter,filter,filter,filter
increase in the back pressure at the exhaust,"back pressure, exhaust",exhaust,"back pressure, exhaust"
increasing fuel consumption of the engine,"fuel consumption, engine",engine,"fuel consumption, engine"
total filter clogging,filter clogging,,filter clogging
serious engine dysfunctioning,engine dysfunctioning,,engine dysfunctioning
complete engine failure,engine failure,,engine failure
destruction of the filter,filter,filter,filter
major drawback of increasing the fuel consumption,fuel consumption,,fuel consumption
costly additives,additives,,additives
significantly increases the fuel consumption of the engine,"fuel consumption, engine",engine,"fuel consumption, engine"
method for regenerating a particle filter,"particle filter, method","particle filter, method","particle filter, method"
catalytic combustion,catalytic combustion,catalytic combustion,catalytic combustion
raising the temperature of the fluid,"temperature, fluid","temperature, fluid","temperature, fluid"
heating said fluid by means of a heating resistor,"heating, fluid, heating resistor",fluid,"heating, fluid, heating resistor"
circulating exhaust gases around a catalytic element,"exhaust gases, catalytic element",,"exhaust gases, catalytic element"
adding an additive to the fuel,"additive, fuel",fuel,"additive, fuel"
internal-combustion engine,internal-combustion engine,internal-combustion engine,internal-combustion engine
gaseous contaminants,gaseous contaminants,gaseous contaminants,gaseous contaminants
limitations found in the prior art,prior art,,prior art
time-consuming and expensive limitation,limitation,,limitation
gas bypass and breakthrough,"gas bypass, breakthrough",,"gas bypass, breakthrough"
lower activity levels of impregnated media,"activity levels, impregnated media",,"activity levels, impregnated media"
onsite chemistry air filtration system,"chemistry, air filtration system","chemistry, air filtration system","chemistry, air filtration system"
conventional particulate filtration section,particulate filtration section,particulate filtration section,particulate filtration section
photochemical filtration section,photochemical filtration section,photochemical filtration section,photochemical filtration section
static gas phase filtration section,gas phase filtration section,gas phase filtration section,gas phase filtration section
catalytic filtration section,catalytic filtration section,catalytic filtration section,catalytic filtration section
dynamic onsite chemistry generation,onsite chemistry generation,,onsite chemistry generation
residential buildings,residential buildings,,
low rise buildings,low rise buildings,,low rise buildings
commercial offices,commercial offices,,commercial offices
places of business,places of business,,places of business
high rise buildings,high rise buildings,,high rise buildings
casinos,casinos,,casinos
ships,ships,,ships
military,military,,military
secure buildings,secure buildings,,secure buildings
airports,airports,,airports
mass transit vehicles,mass transit vehicles,,mass transit vehicles
automobiles,automobiles,,automobiles
mining equipment,mining equipment,,
"pollution from new, heavy-duty diesel trucks and buses","pollution, heavy-duty diesel trucks, buses",,"pollution, heavy-duty diesel trucks, buses"
tougher emission standards,emission standards,,emission standards
unburned soot particles,soot particles,,soot particles
harmful pollutants,pollutants,,pollutants
minimum operating temperature value,minimum operating temperature value,,minimum operating temperature value
maximum conversion,conversion,,conversion
rapid diesel oxidation catalyst heating system,diesel oxidation catalyst heating system,,diesel oxidation catalyst heating system
methods and systems for rapidly achieving an effective operating temperature,"methods, systems, operating temperature",operating temperature,"methods, systems, operating temperature"
heavy-duty vehicles,heavy-duty vehicles,,heavy-duty vehicles
internal combustion engine,internal combustion engine,,internal combustion engine
particulate matter,particulate matter,particulate matter,particulate matter
pollution,pollution,,pollution
social problem,social problem,,social problem
large draft loss,draft loss,,draft loss
clogging,[],,
decreased life of the filter,filter life,,
generation of yellow smokes,yellow smokes,,yellow smokes
secondary pollution,secondary pollution,,secondary pollution
particulate matter-containing exhaust emission controlling filter,"particulate matter, exhaust emission, controlling filter","particulate matter, exhaust emission, controlling filter","particulate matter, exhaust emission, controlling filter"
exhaust emission controlling method,"exhaust emission, controlling method","exhaust emission, controlling method",exhaust emission
exhaust emission controlling device,"exhaust emission, controlling device",exhaust emission,exhaust emission
particulate matter removing filter,"particulate matter, filter","particulate matter, filter","particulate matter, filter"
exhaust gas purifying method,"exhaust gas, purifying method",exhaust gas,"exhaust gas, purifying method"
exhaust gas purifying device,exhaust gas purifying device,,exhaust gas purifying device
diesel engine,diesel engine,,diesel engine
various industries,industries,,industries
diesel engine makers,diesel engine makers,,diesel engine makers
car makers,car makers,,car makers
nitrogen oxide emissions,nitrogen oxide emissions,,nitrogen oxide emissions
deleterious effects of air pollution,"air pollution, deleterious effects",,"air pollution, deleterious effects"
harmful byproducts,harmful byproducts,,harmful byproducts
nitrogen oxides,nitrogen oxides,,nitrogen oxides
ground-level ozone,ground-level ozone,,ground-level ozone
asthma,asthma,,asthma
respiratory ailments,respiratory ailments,,respiratory ailments
soot formation,soot formation,,soot formation
serious health effects,health effects,,health effects
acid rain,acid rain,,acid rain
deterioration of coastal estuaries,coastal estuaries,,coastal estuaries
low activity of existing catalyst systems,catalyst systems,,catalyst systems
narrow region of working temperatures,"region, working temperatures",,"region, working temperatures"
low stability to water,"stability, water",,"stability, water"
poor selectivity towards n2,"selectivity, N2",,"selectivity, N2"
catalyst system for the reduction of nox,"catalyst system, reduction, nox","catalyst system, reduction, nox","catalyst system, reduction, nox"
multi-component catalyst,multi-component catalyst,,multi-component catalyst
selective catalytic reduction (scr),selective catalytic reduction,,selective catalytic reduction
catalyst in a first zone,"catalyst, first zone","catalyst, first zone","catalyst, first zone"
catalyst in a second zone,"catalyst, second zone","catalyst, second zone","catalyst, second zone"
gas stream comprising an organic reductant,"gas stream, organic reductant","gas stream, organic reductant","gas stream, organic reductant"
regulatory agencies,regulatory agencies,,regulatory agencies
environment,environment,,environment
removing nitrogen oxides (nox) present in exhaust gases,"nitrogen oxides, exhaust gases","nitrogen oxides, exhaust gases","nitrogen oxides, exhaust gases"
cold to hot nitrogen oxides can be efficiently reduced,nitrogen oxides,nitrogen oxides,nitrogen oxides
low concentration of nitrogen oxides,nitrogen oxides,nitrogen oxides,nitrogen oxides
temperature of exhaust gas needs to be raised to 300Â° c. or above,"exhaust gas, temperature","exhaust gas, temperature","exhaust gas, temperature"
overall equipment becomes complicated,equipment,,equipment
increase in equipment cost,equipment cost,,equipment cost
workability for replacement of the catalyst bed is reduced,"replacement, catalyst bed",,"replacement, catalyst bed"
additional heater is required,heater,,heater
marked increase in removal cost,removal cost,,removal cost
environmental problems to improve the efficiency of removal of nitrogen oxides,"environmental problems, efficiency, removal, nitrogen oxides",nitrogen oxides,"environmental problems, efficiency, removal, nitrogen oxides"
denitration technique,denitration technique,,denitration technique
heat-treated active carbon,active carbon,active carbon,active carbon
process for producing an active carbon for use in the denitration of exhaust gas,"active carbon, denitration, exhaust gas","active carbon, exhaust gas","active carbon, denitration, exhaust gas"
denitration method,denitration method,,denitration method
first denitration system using active carbon,"denitration system, active carbon",active carbon,"denitration system, active carbon"
second denitration system using active carbon,"denitration system, active carbon",active carbon,"denitration system, active carbon"
exhaust gases from boilers,"exhaust gases, boilers","exhaust gases, boilers","exhaust gases, boilers"
exhaust gases from road tunnels,"exhaust gases, road tunnels",exhaust gases,"exhaust gases, road tunnels"
nitric acid production plants,"nitric acid, production plants",nitric acid,"nitric acid, production plants"
gases containing nitrogen oxides,"gases, nitrogen oxides","gases, nitrogen oxides","gases, nitrogen oxides"
sulfur dioxide,sulfur dioxide,sulfur dioxide,
hydrogen cyanide,hydrogen cyanide,hydrogen cyanide,
hydrogen sulfide,hydrogen sulfide,hydrogen sulfide,
toxicity and smell of sulphur compounds,"toxicity, sulphur compounds",,"toxicity, sulphur compounds"
catalyst poisoning,catalyst poisoning,,catalyst poisoning
clogging due to the solidification of sulphur,"clogging, solidification, sulphur",,"clogging, solidification, sulphur"
corrosion due to the formation of sulfuric acid,"corrosion, sulfuric acid",,"corrosion, sulfuric acid"
high concentration of h2s in the treated gas,"high concentration, h2s, treated gas",,"h2s, treated gas"
corrosive nox compounds,nox compounds,,nox compounds
"process for the removal of so2, hcn and h2s","removal, so2, hcn, h2s",removal,"removal, so2, hcn, h2s"
hydrogenation step,hydrogenation step,hydrogenation step,
hydrolysis step,hydrolysis step,hydrolysis step,
ammonia removal step,ammonia removal step,ammonia removal step,
hydrogen sulfide removal step,hydrogen sulfide removal step,hydrogen sulfide removal step,
aqueous alkaline washing liquid,aqueous alkaline washing liquid,aqueous alkaline washing liquid,aqueous alkaline washing liquid
oxidation bioreactor,oxidation bioreactor,oxidation bioreactor,
sulfide oxidizing bacteria,sulfide oxidizing bacteria,sulfide oxidizing bacteria,
gas streams from industrial chemical processes,"gas streams, industrial chemical processes",,"gas streams, industrial chemical processes"
filtration of particles,"particles, filtration","particles, filtration","particles, filtration"
soot produced by the combustion of a diesel fuel,"soot, combustion, diesel fuel",,"soot, combustion, diesel fuel"
micro-cracks,micro-cracks,,micro-cracks
severe loss of the filtration capabilities,filtration capabilities,,filtration capabilities
weight increase of the filters,filters,,filters
increased thermal inertia of the filter,"thermal inertia, filter",,"thermal inertia, filter"
excess consumption during the regeneration phases,"excess consumption, regeneration phases",,"excess consumption, regeneration phases"
monolithic honeycomb element,monolithic honeycomb element,,monolithic honeycomb element
increased thickness at the corners,"thickness, corners","thickness, corners","thickness, corners"
periodic undulation of the walls of the inner channels,"walls, inner channels",,"walls, inner channels"
assembly of a plurality of monolithic elements,"assembly, monolithic elements",,"assembly, monolithic elements"
joint cement,joint cement,,joint cement
internal combustion engine,internal combustion engine,,internal combustion engine
motor vehicle exhaust lines,"motor vehicle, exhaust lines",,"motor vehicle, exhaust lines"
presence of particulate matter,particulate matter,,particulate matter
serious hazard with respect to the environment,"hazard, environment",,"hazard, environment"
personal health and safety of individuals exposed to it,"personal health, safety, individuals",,"personal health, safety, individuals"
dust,[],,
large quantities of water may be needed,"quantities, water",,"quantities, water"
decrease of its specific heating value,specific heating value,,specific heating value
water loses its effectiveness upon evaporation,"water, effectiveness, evaporation",,"water, effectiveness, evaporation"
not immediately effective,[],,
excessive aromatic or other materials,aromatic materials,,
dust suppressant composition,dust suppressant composition,dust suppressant composition,dust suppressant composition
"aqueous solution of polyvinyl alcohol, acrylic-based latex, glycerin, silicone based surfactant and a polysiloxane-based wetting agent","aqueous solution, polyvinyl alcohol, acrylic-based latex, glycerin, silicone based surfactant, polysiloxane-based wetting agent","aqueous solution, polyvinyl alcohol, acrylic-based latex, glycerin, silicone based surfactant, polysiloxane-based wetting agent","aqueous solution, polyvinyl alcohol, acrylic-based latex, glycerin, silicone based surfactant, polysiloxane-based wetting agent"
polymer film over the dusting material,"polymer film, dusting material","polymer film, dusting material","polymer film, dusting material"
low surface tension resulting in better wetting of the particulates and agglomeration of the material,"surface tension, wetting, particulates, agglomeration, material","surface tension, wetting, particulates, agglomeration, material","surface tension, wetting, particulates, agglomeration, material"
individuals,[],,
environment,environment,,environment
hazards of nitrogen oxides,"nitrogen oxides, hazards",nitrogen oxides,"nitrogen oxides, hazards"
formation of acid rain,acid rain,,acid rain
formation of tropospheric ozone,tropospheric ozone,,tropospheric ozone
strict standards limiting the discharges of these chemical species,"standards, discharges, chemical species",,"standards, discharges, chemical species"
increased levels of sulfur trioxide,sulfur trioxide,,sulfur trioxide
fouling of downstream equipment,"fouling, downstream equipment",,"fouling, downstream equipment"
visible plume at the exhaust stack,"plume, exhaust stack",,"plume, exhaust stack"
increase particulate matter emissions,particulate matter emissions,,particulate matter emissions
heterogeneous distribution of nh3/nox,"heterogeneous distribution, nh3, nox",nox,"heterogeneous distribution, nh3, nox"
difficult to attain a consistent molar ratio of nh3/nox,"molar ratio, nh3, nox",nox,"molar ratio, nh3, nox"
undesirable ammonia slip,ammonia slip,ammonia slip,ammonia slip
undesirable oxidation of sulfur dioxide,"oxidation, sulfur dioxide","oxidation, sulfur dioxide","oxidation, sulfur dioxide"
"compositions, systems, and methods for achieving high efficiencies of nitrogen oxide removal","compositions, systems, methods, nitrogen oxide removal","compositions, systems, methods","compositions, systems, methods, nitrogen oxide removal"
removing nitrogen oxides from exhaust gases,"nitrogen oxides, exhaust gases","nitrogen oxides, exhaust gases","nitrogen oxides, exhaust gases"
denitrification or selective catalytic reduction (scr) technology,"denitrification, selective catalytic reduction, technology",,"denitrification, selective catalytic reduction, technology"
catalyst responsible for conducting the reduction of nitrogen oxides,"catalyst, reduction, nitrogen oxides","catalyst, nitrogen oxides","catalyst, reduction, nitrogen oxides"
ammonia decomposition catalyst layer,"ammonia decomposition, catalyst layer",catalyst layer,"ammonia decomposition, catalyst layer"
nitrogen oxide reduction catalyst layer,"nitrogen oxide, reduction catalyst, layer","nitrogen oxide, layer","nitrogen oxide, reduction catalyst, layer"
monolithic structural catalyst body,monolithic structural catalyst body,,monolithic structural catalyst body
catalytically active metal functional group comprising ruthenium,"metal functional group, ruthenium",,"metal functional group, ruthenium"
systems for removing nitrogen oxides from an exhaust gas,"systems, nitrogen oxides, exhaust gas","systems, nitrogen oxides, exhaust gas","systems, nitrogen oxides, exhaust gas"
stationary combustion sources,stationary combustion sources,,
mobile combustion sources,mobile combustion sources,,mobile combustion sources
ever-increasing amounts of combustion by-products being emitted,combustion by-products,,combustion by-products
need to reduce emission levels,emission levels,,emission levels
"levels of oxides of nitrogen (nox), hydrocarbons (hc), carbon monoxide (co), and smoke must be reduced drastically","oxides of nitrogen, hydrocarbons, carbon monoxide, smoke",,"oxides of nitrogen, hydrocarbons, carbon monoxide, smoke"
higher levels of nox and particulate emissions,"nox, particulate emissions",nox,"nox, particulate emissions"
successful implementation of nox adsorber technology has proven difficult,nox adsorber technology,,nox adsorber technology
nox adsorbers must have very high loadings of expensive noble metals,"nox adsorbers, noble metals",,"nox adsorbers, noble metals"
effectiveness of nox adsorber technology in very low temperature conditions is questionable,"nox adsorber technology, low temperature conditions",,"nox adsorber technology, low temperature conditions"
catalyst of a nox adsorber is poisoned by sulfur,"catalyst, nox adsorber, sulfur",nox adsorber,"catalyst, nox adsorber, sulfur"
high mechanical loading of engine parts due to a higher peak cylinder pressure,"mechanical loading, engine parts, peak cylinder pressure",,"mechanical loading, engine parts, peak cylinder pressure"
engine components having commonly used material compositions may not be able to withstand these higher pressures,"engine components, material compositions, higher pressures",,"engine components, material compositions, higher pressures"
method of operating an internal combustion engine,internal combustion engine,internal combustion engine,internal combustion engine
switching operation of the engine to a second combustion mode,"switching operation, engine, combustion mode","switching operation, engine, combustion mode","switching operation, engine, combustion mode"
directing an exhaust stream of the engine into contact with a nox adsorber,"exhaust stream, engine, nox adsorber","exhaust stream, engine, nox adsorber","exhaust stream, engine, nox adsorber"
homogeneous charge compression ignition (hcci) combustion,"homogeneous charge compression ignition, combustion",combustion,"homogeneous charge compression ignition, combustion"
internal combustion engine,internal combustion engine,internal combustion engine,internal combustion engine
transportation infrastructure,transportation infrastructure,,transportation infrastructure
society,society,,society
governments around the world,governments,,governments
sulfur poisoning of the nitrogen oxide store,"sulfur poisoning, nitrogen oxide store",,"sulfur poisoning, nitrogen oxide store"
nitrogen oxides,nitrogen oxides,,nitrogen oxides
high exhaust gas temperatures,exhaust gas temperatures,exhaust gas temperatures,exhaust gas temperatures
hydrocarbon emissions,hydrocarbon emissions,,
carbon monoxide emissions,carbon monoxide emissions,,
method for operating an exhaust-gas cleaning unit,exhaust-gas cleaning unit,exhaust-gas cleaning unit,exhaust-gas cleaning unit
combined soot and sulfur regeneration phase,"soot, sulfur, regeneration phase","soot, sulfur, regeneration phase","soot, sulfur, regeneration phase"
oxidation catalytic converter,"oxidation, catalytic converter",,"oxidation, catalytic converter"
lambda probe,lambda probe,,lambda probe
diesel engines,diesel engines,,diesel engines
motor vehicles,motor vehicles,,motor vehicles
nox reduction,nox reduction,,nox reduction
low temperature operation,low temperature operation,low temperature operation,low temperature operation
deactivation of the noble metal catalyst,noble metal catalyst,,noble metal catalyst
sulfur-poisoning,sulfur-poisoning,,sulfur-poisoning
insufficient nox reduction effect,nox reduction effect,,nox reduction effect
nox purifying catalyst,"nox, purifying catalyst","nox, purifying catalyst","nox, purifying catalyst"
first catalytic layer,catalytic layer,catalytic layer,catalytic layer
second catalytic layer,catalytic layer,catalytic layer,catalytic layer
rich/lean control of the air-fuel ratio,air-fuel ratio,air-fuel ratio,air-fuel ratio
Î²-zeolite having iron and/or cerium elements,"Î²-zeolite, iron elements, cerium elements","Î²-zeolite, cerium elements","Î²-zeolite, cerium elements"
noble metal and cerium oxide-based material,"noble metal, cerium oxide-based material","noble metal, cerium oxide-based material","noble metal, cerium oxide-based material"
automobiles,automobiles,automobiles,automobiles
internal combustion engine,internal combustion engine,,internal combustion engine
nox-containing exhaust gases,exhaust gases,exhaust gases,exhaust gases
tightening of exhaust gas limit values,exhaust gas limit values,,exhaust gas limit values
after-treatment of the exhaust gas is absolutely necessary for removing nitrogen oxides,"after-treatment, exhaust gas, nitrogen oxides",exhaust gas,"after-treatment, exhaust gas, nitrogen oxides"
quality differences,quality differences,,quality differences
complicated filtration and/or purification processes,"filtration, purification processes",,"filtration, purification processes"
poor short- and long-term activities in the reduction of nox-containing offgases,"short-term activities, long-term activities, reduction, nox-containing offgases",reduction,"long-term activities, reduction, nox-containing offgases"
risk of poisoning of the nox sorbents by the sulphur oxides,"risk, poisoning, nox sorbents, sulphur oxides",,"risk, poisoning, nox sorbents, sulphur oxides"
complicated engine management strategies,engine management strategies,,engine management strategies
toxicological concerns,toxicological concerns,,toxicological concerns
high offgas temperatures,offgas temperatures,,offgas temperatures
effectiveness of the catalyst,catalyst,catalyst,catalyst
process for producing an scr catalyst,scr catalyst,scr catalyst,scr catalyst
