Document,Topic,Max_Probability
when needing extra help to perform certain home activities,-1,0.017261480373270088
altering the furniture,27,0.045916285307665526
persons with functional impairments,-1,0.039376465468709036
confined to bed,27,1.0
bone fracture,59,1.0
lack of balance,-1,0.049397890601651846
medical catastrophes,49,0.119979992654726
lack of user safety,18,1.0
functional assessment or monitoring of a person's health status,5,0.31872595509456386
potentially unstable device while in use,37,0.1206242720648907
lack of safe driving restraints,14,0.0330834120348232
suffer from obesity,-1,0.005770002178719669
prior art devices fail to provide an alarm unit that creates an audible alert,24,1.0
cost of emergency response services,8,0.1323870769712314
premature luteinization,9,0.48443694755500766
standard wheelchairs and scooters have no provision for assisting the user in standing or being elevated,57,1.0
lack of investment sophistication,22,0.07971370805722995
difficult to move and to store,21,0.060220271090341504
unusual toileting patterns are a leading indicator of certain illnesses,32,0.06807394411863091
challenges of an aging population,4,1.0
lack of traffic laws and regulations,14,1.0
large physical and mental burdens,-1,0.052310146405713624
medical costs associated with falls,2,0.23692253077762748
"variable, and often ill-defined, potential for implantation and development to term",7,0.019844753038828704
requirement for specially instrumenting the home,0,0.10128858710812329
restrictions on space,-1,0.02088162719825573
not enough caretakers,0,0.1302514915142156
aneuploidies,65,1.0
generalized weakness due to age or neurological deficits,10,0.11464606318830627
need for timely detection of adverse events,-1,0.028198411012061494
conventional walker provides no seating accommodation,25,0.4721217601620116
huge volume of the walker device,25,0.4167637935715231
ovulation disorder,9,1.0
unstable state,-1,0.0239419168687459
weight gain,-1,0.024812240681605372
operations putting their health at risk,-1,0.014896798753902735
time involved with the monitoring process,-1,0.017963080537633742
anxiety that these elderly and disabled persons are safe and secure in their own residences,16,0.056286544367044965
emotional effects of infertility,12,0.4466440015619428
worsening of symptoms of ohss,-1,0.016830266515359765
sleep/wake patterns,19,0.13556817189044496
difficulty walking without a walking aid,31,0.245946169188949
"confusion about what, where and when the set of pills to be administrated",1,1.0
social and physical threats,13,0.13341802541464193
exploitation and/or abuse,13,0.14585867858821142
may injure themselves in the process,-1,0.07155561462311037
poor medication adherence,1,0.1734015722612897
risk of being prematurely forced into a nursing home,0,0.1314490681944647
suffering an incapacitated condition and unable to summon help,6,0.046352997118509015
disruptive rest periods,-1,0.03030779927651829
steady increase in the average number of medications prescribed per person,1,0.5684333188027457
stooping (kyphosis),-1,0.014052043880323817
possible hazard,61,1.0
requires at least two to three persons for operation,6,0.03551973852869364
lack of wi-fi or other network connectivity,-1,0.07405555652194275
catastrophic health consequences to the patient,-1,0.07454746937539355
unwanted childlessness,-1,0.07315673180145865
higher rates of musculoskeletal injury,-1,0.080531079451871
difficulty for a mobility-impaired person to transfer themselves out of a wheelchair,27,0.15255389170017333
psychological trauma from repeated treatment failures,-1,0.04301636537572169
thin endometrium,9,1.0
possibly restrained stability of the medicament,0,0.10940469193386486
"risk of ovarian, endometrial and breast cancer",9,0.3151442866914936
acute falls lead to high psychological effects of fear,2,0.19078809985915485
overloaded cellular circuits,-1,0.12857519849268623
"typical toileting, bathing, and furniture in the home are not suited for persons who have limited strength and mobility",-1,0.023551652615242127
"current options for ascending and descending stairs include standard railings which are not balanced, and awkward",44,1.0
23% of nursing home admissions,0,0.1006558804709505
bathing for bedridden and other people with limited mobility,-1,0.03060340778118482
dyspareunia,-1,0.03088081622427157
elderly person or a person with reduced mobility and do not have sufficient muscles to rise to their feet by their own,-1,0.08257545103623745
hernias,-1,0.05856818985745371
limited selection of home equipment available to the patient,0,0.1736998544941473
loss of wages,46,0.02899330283678635
physical limitation,-1,0.0299156992633188
lack the ability to move normally,21,0.23309344011444308
most of the blastocysts fail to attach properly to the uterus,-1,0.04342072519358618
wearable devices have several disadvantages,45,0.3936910979325793
stability of the user during locomotion,-1,0.08149452734290832
injuries resulting from falls,2,1.0
assistance provided to an impaired individual,6,0.29827496404732173
spontaneous abortion rate of 27%,33,1.0
substantial emotional and financial costs,15,0.32934010985308776
potential for misuse,-1,0.04098108743811507
risk of injury to the person,-1,0.22888061246973654
inability to conduct the imaging and evaluation in an automated fashion,35,0.10558990034415754
social and economic costs associated with falls,2,0.23373487592711983
the longer a person spends in a helpless situation,2,0.019408595911901385
reduction in memory and cognitive function,10,1.0
amount of force required to transfer a person,-1,0.16014789420979542
risk of the patient stumbling,2,1.0
physical positioning of subjects,26,0.12066125226177501
behavioral and personality changes,-1,0.028019104953361764
social isolation,16,1.0
difference in the motion between the human body and the support member,26,0.08972856671434032
locked knee joint,36,1.0
injury to a user if fingers get caught in the channels,60,1.0
lack of sufficient physical strength and stamina,51,1.0
seniors get confused navigating through complex smartphone and app menus,4,0.29684146017181084
insufficient retirement benefits,46,1.0
when feeling unwell,32,1.0
not advantageous for assistance in movement besides moving from a laying down position to a sitting up position,41,1.0
incontinence needs,0,0.08936735149383111
sterility,12,0.23989142147728237
acute falls negatively impact the quality of daily life,2,0.20089274924062903
"125,000 deaths in the us annually",49,1.0
staffing needs for monitoring and caring for persons,5,1.0
decrease in mobility,34,1.0
challenges in taking care of their health at home,0,0.510994184772147
respective activities,19,0.299700761670518
middlemen taking advantage of farmers lack of access to information,3,0.4236198554505695
being alone might be a problem when faced with an emergency,16,0.11042943955380326
high rates of multiple gestations,11,0.18308837690429866
current solutions to these problems are not sufficient,3,0.16594780633519657
caregiver is small and/or lacking in strength,0,0.6231545920897666
adverse outcomes for both the mother and fetuses,11,1.0
holographic systems can introduce image blurring due to bandwidth generated problems,35,1.0
potential causes for failure of ivf are diverse,42,1.0
"weak, elderly and disabled patients typically lack the core muscle strength",-1,0.03507252583411878
limited to low-information streams,3,1.0
slow or halted recovery,-1,0.0041552069768714525
patients' non-compliance,1,0.03443343786852217
little assistance in transfers,68,1.0
stalking,13,0.08450192371778235
subjective morphological evaluations,7,0.022589523916680895
limited use of the lower extremities,-1,0.05128283647159256
support larger individuals,-1,0.004593668272468228
significant risks of injury to both the person being carried and the care provider,-1,0.06876612251641462
current devices are limited,3,0.11156270316625562
continuous supervision is not economically feasible,5,0.04469882221452595
"impractical, complex and/or inconvenient structures",29,0.08622876610254787
dependence upon the care of others,0,0.45433199340312047
high information content displays require high resolution that is not feasible in low information content systems,3,0.26005680739949194
consequential damages if the person is trying to get up without assistance,-1,0.038820939016836316
health hazard conditions,-1,0.06702677367686988
attack in progress,-1,0.031079712679132645
individual's capabilities may change from hour to hour,6,0.04534897092778962
live-in care may be undesirable and invasive,0,0.1724939183031949
no interactive mechanism to facilitate communication of information,3,0.25880462684529437
high serum lh levels,9,1.0
instability of a walker when it is not placed upon a level footing,25,0.09632962770508498
no structural stabilization or back support for the patient,-1,0.0825237758727968
potentially dangerous movements for a patient with reduced mobility,34,0.07787161318607054
need for a device that allows one to accomplish these tasks from a variety of positions on the bed,-1,0.13624472474643481
emergency situation,8,1.0
need for assisted devices during rehabilitation,-1,0.00411753866940919
debilitating aging-related musculo-skeletal conditions,-1,0.032290840907612264
"difficulty in acquiring, organizing, and remembering to take their medications",1,0.408517098843835
trouble moving or being transported from one place to another,21,1.0
need for safety,-1,0.017328971830971443
variable quality of eggs,7,0.05833662482809311
lack of regular interaction,-1,0.027668192984363633
copd exacerbations,-1,0.044393681033570546
limitations of present wireless communications devices,3,1.0
not well suited to persons of varying body types,70,1.0
inaccuracies which introduce uncertainty in current drug administration monitoring systems,1,0.2346543344173357
anovulatory infertility,12,0.1725824755517902
possibility of accidentally falling forward,2,1.0
length of time spent immobile,-1,0.024820775213862115
diagnosis of frailty,-1,0.03571035013656861
getting confused with the complexity of the medication regimen,1,0.33176831900494874
dangers of multiple pregnancies for both the mother and the neonates,11,0.3685649700501001
current embryo selection relies primarily on morphological evaluations which are very subjective,7,0.17183516234163787
ongoing and persistent problems encountered by care-givers when transferring a bed-ridden person,68,1.0
preterm labor,11,0.1393653163731482
current technologies share certain drawbacks,3,0.1228740786980906
natural disasters,8,0.06353368130176947
overestimating the couple's probability of achieving a pregnancy,33,0.35619270842761197
physical demands on care providers,0,1.0
onset of dementia,4,0.029501613475947194
false positives,69,0.5206381384812838
expensive hospital beds,28,1.0
user discomfort,18,0.1922686089275742
individuals that have fallen and suffer no real injuries but need assistance in getting up,2,0.08136417554492908
forgetting to take their medication at the proper times,1,0.43031362347862
time consuming process,22,0.2356737940536174
position of the clamping device is not secured,-1,0.037720587705886995
not attached to the walker,25,1.0
physical degradation and reliance on aids,17,0.15420938183216604
conception rates of cattle range from 40% to 50%,33,0.4398989635841846
waiting lying on the floor,2,0.03256515173475247
autoimmune reactions,-1,0.0560307607067451
single point of failure,38,0.05833774587758027
risks for depression,43,1.0
leading cause of preeclampsia,11,0.17020267946541523
symptoms of neurological and neuropsychiatric conditions,10,0.35546355748927794
sternal pressure,40,0.5084164001840787
delay in determining that the individual has suffered a fall,2,0.40362640655825655
risks associated with medications and surgical procedures,-1,0.034895381440038994
low success rate of pregnancy,33,1.0
traffic accidents,14,0.12836345834030133
polycystic ovary disease,9,1.0
assisting burden,6,0.06131831385242523
trouble moving themselves to and from a work surface,21,1.0
varying individual responses to treatment with gonadotropins,9,0.49572374934972063
arched back,-1,0.03653007900723849
lack of cross talks between the uterine endometrium and the embryos,9,1.0
fast response to personal needs,0,0.1121642375341481
identified risk for embryo damage,7,0.016474877129652222
long treatment period until the suppression and down-regulation occur,-1,0.007827505534039478
inability to ascend stairs safely,44,0.4237654337204758
many elderly people live alone,16,0.06410762301049754
limited user actions,18,0.06406361204453791
limited versatility of modern “everyday” wheelchairs,57,1.0
severe infertilitas,-1,0.03608894196173379
inability to be in a standing position when interacting with other individuals,-1,0.018150780028999905
difficult to use,64,1.0
inability to route the call to the appropriate psap,23,1.0
minimal or nonexistent monitoring equipment at home care facilities,5,0.14837234194871393
not found a portable lift and lowering device affordable to most people,20,1.0
permanent disability,-1,0.023045032539652954
difficult to relate to human embryo development,7,0.6057104022679936
limitation of the current evaluation method,3,1.0
intrusive visits by a caregiver,0,0.3722443074836855
geriatric patients moving about freely,-1,0.04445911410657275
conditions that hinder the normal operation of the body,-1,0.04966061801489868
require the assistance of other(s) to operate,6,0.2949393435773961
difficulty changing position,41,0.10409073322858331
failure to take a prescribed medication for treatment of heart disease,1,0.174778400834773
longer life spans,4,0.24489808252533635
overuse or abuse of certain medications,1,0.3756299906032469
urgent need by one of the monitored individuals,5,0.2469108957201178
senior citizens,4,0.28855893727553616
difficult or physically challenging for assisting persons to raise,-1,0.015497970811756051
false positive signal,69,1.0
robbery,13,0.08773159883048229
difficult to encourage friends and associates to remain physically active,19,0.34158570310557756
knee replacements,36,1.0
lower leg surgery,-1,0.013825626816625339
falls are monitored and addressed upon in real time,2,1.0
physically lifting the patient,20,0.03807821393031988
lack of capacity to communicate relevant information,3,1.0
high cost of monitoring devices,5,0.2446462206384213
rolling canes suffer from a number of disadvantages,-1,0.03977996314056807
caregiver might not be watching them at all times,0,1.0
reduced dexterity,-1,0.03389246910849394
additional inconveniences,18,0.16154021869183266
elderly individuals that are at risk of falling,2,1.0
difficult or impossible for certain people to sit or stand from a seated position on a chair,-1,0.13803937371896996
need for a high preparation effort,22,0.10544060030749887
hired caregiver can be too costly,0,1.0
50% of people who fall require assistance from someone else to get up,2,0.2108588901047684
unknown long-term cancer risk,-1,0.07617983489518049
musculoskeletal deterioration,-1,0.012201640328714515
limitations of conventional imaging methods,35,0.3611515500284772
victim helpless,50,0.35222812872555387
changing posture of a person from sitting to lying,26,1.0
frequent rest for the user,-1,0.027626802752193324
failure of the bluetooth connection or the wi-fi connection in the conventional personal emergency response system,8,0.15139138434214902
patients who have spinal problems sometimes do not keep correct posture,26,0.26941850531789824
conventional protocols of ovulation stimulation do not accommodate selective treatment regimens,9,0.24780312117806116
tracking errors in individual cell tracking,-1,0.02035556044036281
current walkers do not provide assistance in both rising and walking,25,0.08322952000404679
damage to their bodies,-1,0.04804247576346196
human assistance can be painful,6,0.10041912509943796
need for a bed mobility device that can offer increased stability,-1,0.05779823557416136
typical approaches further limit the terrain one may move over,44,0.08852219071224009
closed head injuries from users falling backwards,2,0.19087590812593752
high cost of elder care facilities,-1,0.0420606640084534
difficulties finding buyers willing to buy their goods for a fair value,-1,0.03455087723119222
lack of suitable assistance,6,1.0
invasive technique which requires significant equipment and expertise,-1,0.06368349096667096
use of a gym or rehabilitation facility,-1,0.0059328266157476035
disoriented senior citizens become missing,4,0.3244572489594607
perceive either type of care as an affront to their autonomy,0,1.0
do not provide latitude in hand-holds location,23,1.0
inadequate muscles and resilience of the body,51,1.0
not economically feasible for many individuals,-1,0.08376132189480576
medications are sensitive to certain environmental conditions,1,0.42164691847644453
not portable in transportation,62,1.0
need for home automation systems that utilize machine learning and artificial intelligence,0,0.051764054161086495
unstoppable bleeding of the wound,-1,0.01737399891994913
accident during the walking,63,1.0
conventional systems do not provide support at angles far from vertical,26,0.05286203941756054
moderate to severe injuries,67,1.0
lack of adjustability,-1,0.029719283548401716
need to rely heavily on leaning on a walker,25,1.0
limited assistance for those who have limited upper-body strength,70,1.0
injuries more easily than younger adults,67,1.0
degradation of the ability to walk,31,0.18556966498020663
complicated systems,3,0.1719024228883097
require assistance to help lift them out of their sitting position,-1,0.025791361242079692
failure to apprise an elderly person of available activities,4,1.0
taking the medications in the incorrect amount,1,1.0
bad habits,-1,0.008509348368157805
continuity and consistency of the monitoring,5,1.0
anti-intuitive action,-1,0.005240702446529966
confusion about appropriate quantities of food intake,58,1.0
difficulty for elderly patients to rise to an erect standing position,-1,0.05530960643925543
$100 billion per year,15,0.11685874368312989
difficulties encountered when users' assistants are manipulating the device,-1,0.024395290320319087
lengthy and costly treatment,-1,0.028356758037509297
increased rehabilitation time,-1,0.003415005769797519
elopement,13,0.06927849842757403
lack of cognitive and physical abilities,10,0.16110310976945452
more serious damage or even death,-1,0.08780075139775557
high incidence of early pregnancy loss,11,0.2574000920069161
patient's dignity and confidence needs to be built,0,0.04088734987688135
"joint stress in wrists, elbows and shoulders",30,1.0
emergency calls from the hearing-impaired,23,1.0
bloating,-1,0.01434281252159672
require adjustment to match the spring forces,-1,0.04213115716462246
financial constraints,15,0.20334773783252197
poor oocyte and embryo quality,7,0.10700213866289436
only 75% compliant,1,0.026572548864516623
nosocomial infections such as antibiotic-resistant staph,56,1.0
high rate of early embryonic loss,7,0.23944395707252572
loss of employer-funded retirement benefits,46,1.0
financial cost,15,0.26309243074694777
medical necessities,0,0.051745661513051155
relatively expensive,15,0.049306690008797505
elderly people have a high risk of falling,2,1.0
diabetes,-1,0.0789510447447769
major health problems in elderly populations,4,0.09402912254795198
cell shape deformation,-1,0.03057563455635799
autoimmune infertility,12,0.19952472101095325
wandering off from a designated location,66,1.0
not everyone is able to benefit from these technologies,3,0.09230594954458995
imprinting errors,38,1.0
impaired fecundity,-1,0.03205791760309842
one of the top three causes of death in elderly people,4,0.03200596878793373
muscle hypotonia,30,1.0
cost,15,0.33795217409512107
considerable expense to society,15,1.0
late admission increases the risk of pressure ulcers,-1,0.04895612801307158
difficult if the user is large and heavy,-1,0.028657318126164167
many existing systems use broadband light and require very expensive lens assemblies to form color corrected images,35,1.0
loss of amino acids,-1,0.009871795411754612
lumbago,30,0.11132732687319345
fetal and neonatal morbidity and mortality,11,0.7918668788776003
technical failure of a vehicle,14,0.018015048572300033
near-term disability and injuries,-1,0.05380141543312181
require setup and/or ongoing maintenance by dedicated experts,6,0.03422066690920614
need to identify viable embryos with the highest implantation potential,7,0.5360221823780791
rely upon highly sophisticated wearable devices,45,1.0
dependent care,0,1.0
expensive procedure,22,0.0795828698710919
traditional means of ovarian stimulation,9,1.0
functional decline of the body,17,0.08802142859758702
high amount of pressure exerted on the inguinal area,40,1.0
2 medications to about 20 medications per day,1,0.7491223965181537
disorder of implantation,7,0.015669606396862264
placing undue strain on the individual,30,0.2689799092949765
increased deficits in instrumental activities of daily living,19,1.0
significant financial burden,15,0.12573860600741646
shock detection,8,0.049998170305323525
"trauma, severe and irreversible health damage, or even death",-1,0.01811214121954155
limited options for older adults suffering from health complications,4,0.09038038008114083
property crime,13,0.11153358175951229
mosaicism,65,1.0
80% of assisted living residents have medications managed by their facilities,0,0.12193614477719683
material ages with time and its ability to carry a load deteriorates,4,0.14483746596481947
need for a model that can more reliably predict the chance of a successful ivf/icsi treatment,42,1.0
9-1-1 “call” to include or to consist of only a communication using some other medium,71,1.0
failure to properly monitor compliance,5,0.04344895520523728
chronic condition,17,0.06681805937714123
expensive and time-consuming,22,1.0
compromised implantation receptivity,7,0.016478643265666826
correct application of a medication plan,1,0.3255734892637778
painful pressure ulcers or bed sores,40,0.47822575621189284
bad hygiene,-1,0.01304164488315165
excessive weight,-1,0.024003363739360205
late admission increases the risk of dehydration,-1,0.01484745559837796
anti-sperm antibodies,12,0.2577429537933963
negative physiological effects on the patient,-1,0.04997852738151068
debilitated due to accidents,-1,0.03565380717947277
risk to heat exhaustion,-1,0.07036497227094383
"need for a foldable, tiltable frame for adult weight capacity wheelchairs",57,1.0
lifting the weight in a difficult height and position,20,0.03890441410079761
sub-optimal cognition,10,1.0
undetected fall,2,0.21747151315340443
ovarian hyperstimulation syndrome (ohss),9,1.0
diminished production of a number of growth factors,4,0.12777616142948528
sudden illness,32,1.0
conditions of weak limbs,55,1.0
regression of a medical condition,32,0.08410655973514601
preterm deliveries that result from multiple pregnancies caused by art,11,0.28163913682533953
appropriately exercising limbs,55,1.0
human casualties,49,0.13377685493145278
inadequate prior art in providing a seat or sling harness,-1,0.023800248637149853
one-time assessment of function,-1,0.02160405376400258
secure fastening of large components,54,1.0
challenge and risk for brittle osteoporosis patients,59,1.0
average success rate of approximately twenty-six percent,33,0.179376479424913
cancer,72,1.0
mixing drugs that result in negative outcomes,1,1.0
dangerously high or low pulse rates,-1,0.01585143848539294
rely on and utilize personal emergency response systems (pers),8,1.0
move into walls and furniture,-1,0.05886505317178754
about one-half of the 1.8 billion prescriptions dispensed annually are not taken correctly,1,0.2952354862739378
decreased activity,19,0.18191025990636076
delays can constitute a significant safety issue,-1,0.04999337048088466
pedometers often erroneously record movements other than walking,-1,0.01902035609281756
missing and/or false cell boundaries,-1,0.036626935852342696
inherently noisy nature of biological images,35,0.3562540352789254
motorized sitting to standing assistance devices are large,53,1.0
reporting an overly optimistic probability of achieving a pregnancy or live birth,33,0.09550243156862215
high levels of attrition of nursing staff and other care providers,0,0.11084723406700847
risk from wandering,66,1.0
diminished muscles and coordination with age,-1,0.013771767569236095
need exists for a non-electronic system,3,0.17988276547674426
some sensors require individuals to manually activate an alarm,24,0.20536908505663534
tripping hazards,66,1.0
prone to failure in power-loss and other emergency situations,8,0.036373095110281736
absence of activity,19,0.2961888251194688
getting help quickly after a fall reduces risk of death by over 80%,2,0.44187255893619326
institutionalization,22,0.06770675557657077
higher costs associated with non-compliance,28,0.027757441760263183
high cost of nursing homes,0,0.13103386897080907
large difference in height between adjacent stairs,44,1.0
10-15% of couples of reproductive-age,33,1.0
people who miss doses need 3 times as many doctor visits,1,0.18204532311638896
work-related injuries,67,1.0
skeletal muscles become weaker,30,1.0
"large, heavy, bulky, complicated, and time consuming to setup and use",29,0.22734876802103052
inefficient assisted reproductive technologies,12,0.05868692466029778
manual methods of summoning aid,6,0.06326142545249364
patient has to be transported to the doctor's office or other diagnostic facility,-1,0.017937474696758698
medical situation,32,0.10922534151235105
effort required to move them,21,0.21917945667222002
"elderly person on the floor is uninjured, nevertheless, a call to 911 is typically placed",-1,0.027692900556185618
additional labor costs,15,0.348104933098706
inability to conceive,12,0.0625732173975181
strain of transferring people,68,1.0
physical stress that may impede or even stall embryo development,7,0.45105411299240195
"injury, particularly lower back injury, to the care-giver",-1,0.033135560373014065
drawbacks negatively impact one's independence,16,0.09546566283508112
wheelchairs require large spaces for storage,57,1.0
energy consumption of a motion sensing device,48,1.0
appropriate prosthetic care for geriatric patients,-1,0.012804760010206183
increased chromosome error rate,65,1.0
decline in a number of cognitive domains,10,0.5637598257792658
restrictions both as far as the quantity of data and also the calculation scope,3,1.0
injuring themselves during the transfer,60,0.19525329256171667
powered options require electricity and some power source,37,1.0
management of traffic regulation systems in urban areas,14,1.0
fecundity of individual embryos,7,0.6487211742459434
anomalous or unexpected sound signals,-1,0.03327168163303588
tilt sensor has drawbacks,48,0.16502744443303047
difficulty in providing assistance to enable the bather to enter a bathtub,-1,0.018339516953851193
infertile patients,12,1.0
attempting to open prescription bottles is difficult,1,0.6775122468552844
jostling of the patient,52,1.0
undesirable influences on the mother's body,11,1.0
lack of key components,54,1.0
leading cause of injury related death,-1,0.037855649838252965
patient handling and resulting caregiver injury,-1,0.01975014492957024
intimidate and confuse many users,18,1.0
expensive and time-consuming due to the number of doctor's office visits required,28,0.544912398555575
prohibitive costs,15,0.644009621677483
inability to stand and/or walk unaided,31,0.07503137425947973
advanced age,4,0.22047167918365262
abutting surfaces can pinch body parts or items therebetween causing damage or pain,-1,0.030191347362054716
low implantation success rate,-1,0.017700591996735383
need for automated systems that focus on caregivers,0,0.32018517137085023
harassing,13,0.6272102019788746
secure and automatic detection of threats and harm,-1,0.05360003649914313
difficult to accurately access and record a person's condition and range of motion,-1,0.02559466840236719
caregiver being elderly or otherwise infirm,4,0.09821551396406068
lifts typically comprise a sling which may be attached to an individual,20,0.06325479396103234
costly and not affordable for the family and/or friends,15,0.286021169451888
multiple pregnancies,11,0.39755225621093104
vomiting,32,0.1653745460910273
poor hearing of hard-of-hearing patients,10,0.10453847946502394
stress,-1,0.023595933760155934
loss of a phone,-1,0.03578554367625917
reaching the button presents a difficult task,-1,0.004562929162062153
complexity has the result that a problem in a part of the device can result in a total crash of the system,3,0.12598335881032802
put themselves at risk of injury during the attempt,60,1.0
time and attention requirements,-1,0.015354822375724815
being alone,16,1.0
"patient lifts are generally expensive, bulky and difficult to use",20,1.0
elderly population,4,0.3681836364231181
erroneous decisions,38,1.0
limited acceptance and use due to elders' perception and image issues,4,1.0
increased material risk of pre-eclampsia,11,0.11659381484939572
larceny,13,0.19520071282697654
victim may not feel safe or comfortable,50,1.0
"need for systems, devices, and methods that can enable a remote monitoring of patient compliance",5,0.17895939376924677
cost of medical intervention,28,0.08935483218771591
disabled,-1,0.029834312951545025
potential risks,61,0.2959608335914685
skeletal bones become thinner,30,1.0
improved systems and methods for establishing patterns of social behavior for users of mobile devices are desired,-1,0.023331428784469713
passing red lights,14,0.43678063071866025
difficulty in maintaining independence,16,0.09413578875621895
only monitors user's activities in real time,-1,0.021789450336786115
overwhelming the person's ability to learn,10,0.2395686866832581
viral infection,56,1.0
vehicle crashes,14,0.023621798342708465
low success rate of pregnancy by blastocyst transfer,-1,0.013398644315513736
"timely interventions by those who are responsible for diagnosing, caring, rescuing, treating, or otherwise assisting such individuals",6,0.04910987051064861
drained battery,37,1.0
expensive to manufacture,15,0.14218152730034833
difficult for one person to lift another without undue exertion,20,0.04708761575739761
increased cognitive load,10,1.0
inability to provide early warning,69,1.0
current traffic regulation systems present several drawbacks for slower moving people,14,0.25630907671836145
lack of adequate patient transfer devices,-1,0.015946068804523452
stumble relative to the ambulatory assist device,31,0.11242581464068095
uncomfortable to use,64,1.0
limited range of the remote transmitter,-1,0.028765962777494932
low pregnancy and birth rates following in vitro fertilization (ivf) attempts,42,0.16832114098423032
expensive infertility treatments,12,0.14051735196545
rigid and generally uncomfortable,64,1.0
severe adverse events,32,0.10757679386466207
device is subject to frequent charging or battery replacement,37,1.0
strictly data acquisition devices,48,0.11261951161446825
inconvenience caused by wearable protection devices,45,1.0
brain injuries,-1,0.2347852366694166
"obstruct the user's full use of their hands, feet or body",-1,0.03014981471401429
1 in 3 will fall in a given year,2,0.3015464243744968
illegal in certain countries,13,0.1474193523758047
hearing-impaired caller's precise location information may not be known,23,0.4126394557161102
reduced capacity,29,0.051133507581548734
need to provide additional apparatus,47,1.0
violence and domestic abuse,13,1.0
embarrassment of the fire trucks or ambulance in the driveway,-1,0.008833851410379569
not highly efficient,22,1.0
compression causes muscle cells to begin breaking down,30,1.0
inconveniently positioned handles,26,0.05868232426482477
improper implantation of the embryo,7,0.019472742434068352
specific person is unlikely to rush home,-1,0.04753469647655509
not designed for rehabilitation aid,-1,0.006125214913697587
