representative,synonym,group_size
abnormal patterns of gene expression in cumulus cells,abnormal patterns of gene expression in cumulus cells,1
abnormal time,abnormal time,1
"chromosomal abnormalities, or aneuploidy",abnormalities in chromosome placement and structure,4
"chromosomal abnormalities, or aneuploidy",chromosomal abnormalities,4
"chromosomal abnormalities, or aneuploidy","chromosomal abnormalities, or aneuploidy",4
"chromosomal abnormalities, or aneuploidy",chromosome segregation errors,4
about one third of the adults ages 65 and older experience at least one fall,about one third of the adults ages 65 and older experience at least one fall,1
absence of a combined structure,absence of a combined structure,1
absence of a suitable mechanical method for lifting and moving a person,absence of a suitable mechanical method for lifting and moving a person,1
absence of activity,absence of activity,2
absence of activity,inactivity,2
vulnerable individuals,abuse of vulnerable individuals,2
vulnerable individuals,vulnerable individuals,2
abutting surfaces can pinch body parts or items therebetween causing damage or pain,abutting surfaces can pinch body parts or items therebetween causing damage or pain,1
accident during the walking,accident during the walking,1
accidental and unintended injuries,accidental and unintended injuries,9
accidental and unintended injuries,accidental falls,9
accidental and unintended injuries,dangers of accidents and emergencies,9
accidental and unintended injuries,injuries and other similar incidents,9
accidental and unintended injuries,near-term disability and injuries,9
accidental and unintended injuries,other injuries,9
accidental and unintended injuries,other injury,9
accidental and unintended injuries,risk of injury,9
accidental and unintended injuries,risks of bodily injuries,9
falls are the leading cause of accidental death for seniors,accidental death for seniors,2
falls are the leading cause of accidental death for seniors,falls are the leading cause of accidental death for seniors,2
risk of injury from falling,accidental falling,6
risk of injury from falling,dangers of falling,6
risk of injury from falling,injuries resulting from falls,6
risk of injury from falling,injuries sustained from falls,6
risk of injury from falling,possibility of accidentally falling forward,6
risk of injury from falling,risk of injury from falling,6
accidental falls from chairs,accidental falls from chairs,1
accidental pulling of the device,accidental pulling of the device,1
accidentally forget the walking instrument,accidentally forget the walking instrument,1
accidents of back injury frequently happen to carers,accidents of back injury frequently happen to carers,1
accuracy of the estimated position of the beaconing device,accuracy of the estimated position of the beaconing device,1
accuracy of the falling detection is varied along with different positions of the wearable device,accuracy of the falling detection is varied along with different positions of the wearable device,1
accuracy to which the positions of the receivers are known,accuracy to which the positions of the receivers are known,1
accurate ppg assessments require close contact between a light source/detector and the user's skin,accurate ppg assessments require close contact between a light source/detector and the user's skin,1
active participation of the wearer,active participation of the wearer,1
active process that frequently gets done multiple times in a day,active process that frequently gets done multiple times in a day,1
acute falls have high impact on daily life quality,acute falls have high impact on daily life quality,3
acute falls have high impact on daily life quality,acute falls lead to high psychological effects of fear,3
acute falls have high impact on daily life quality,acute falls negatively impact the quality of daily life,3
acute falls leads to high psychological effect of fear,acute falls leads to high psychological effect of fear,1
acute or chronic conditions impact a person's abilities to manage independently,acute or chronic conditions impact a person's abilities to manage independently,1
acute sensitivity,acute sensitivity,1
acuteness of the person's condition,acuteness of the person's condition,1
adding more components to a system,adding more components to a system,1
additional attendants to perform the lifting and handling,additional attendants to perform the lifting and handling,1
relatively expensive and have additional components prone to breakage,additional components prone to breakage,2
relatively expensive and have additional components prone to breakage,relatively expensive and have additional components prone to breakage,2
additional costs to occur,additional costs to occur,1
additional healthcare costs,additional healthcare costs,4
additional healthcare costs,additional patient cost,4
additional healthcare costs,health care costs,4
additional healthcare costs,rising healthcare costs,4
additional inconveniences,additional inconveniences,1
additional labor costs,additional labor costs,1
additional steps beyond the connection of an emergency call,additional steps beyond the connection of an emergency call,1
adds weight to the frame,adds weight to the frame,1
advance of chronic diseases,advance of chronic diseases,1
old age,advanced age,6
old age,age,6
old age,elderly,6
old age,elderly population,6
old age,old age,6
old age,physical aging,6
adverse conditions ranging from general ambulatory decline to serious physical disabilities,adverse conditions ranging from general ambulatory decline to serious physical disabilities,1
adverse drug reactions,adverse drug reactions,2
adverse drug reactions,adverse drug reactions (adrs),2
adverse effects,adverse effects,2
adverse effects,adverse health outcomes,2
adverse effects of gnrh agonists,adverse effects of gnrh agonists,1
multiple gestations have well-documented adverse outcomes for both the mother and fetuses,adverse outcomes for both the mother and fetuses,2
multiple gestations have well-documented adverse outcomes for both the mother and fetuses,multiple gestations have well-documented adverse outcomes for both the mother and fetuses,2
negative physiological effects on the patient,adverse physical and emotional effects on the patient,3
negative physiological effects on the patient,negative physiological effects on the patient,3
negative physiological effects on the patient,negative psychological effects on the patient,3
weather factors,adverse weather conditions,2
weather factors,weather factors,2
advised to get admitted to nursing homes,advised to get admitted to assisted living facilities,3
advised to get admitted to nursing homes,advised to get admitted to home care,3
advised to get admitted to nursing homes,advised to get admitted to nursing homes,3
affecting manufacturing costs,affecting manufacturing costs,1
afraid of falling,afraid of falling,1
age-related disabilities and diseases,age-related cognitive decline,3
age-related disabilities and diseases,age-related disabilities and diseases,3
age-related disabilities and diseases,age-related health problems,3
agent cannot lift a leg to step forward,agent cannot lift a leg to step forward,1
aggravated assault,aggravated assault,1
aggregate cost of hospital admissions related to medication non-adherence,aggregate cost of hospital admissions related to medication non-adherence,1
aging,aging,1
aging and/or disabled population,aging and/or disabled population,1
aging crisis,aging crisis,1
aging in place,aging in place,1
aging population,aging of the population,2
aging population,aging population,2
elderly individuals that are at risk of falling,aging population is at a higher risk of fall,8
elderly individuals that are at risk of falling,elderly individuals that are at risk of falling,8
elderly individuals that are at risk of falling,elderly individuals who are at risk of falling,8
elderly individuals that are at risk of falling,elderly people have a high risk of falling,8
elderly individuals that are at risk of falling,elderly people have a higher risk of falling,8
elderly individuals that are at risk of falling,elderly whom are more prone to falls,8
elderly individuals that are at risk of falling,risk for falls,8
elderly individuals that are at risk of falling,risk of falls,8
aging society,aging society,1
aging workforce,aging workforce,1
aging-in-place can also put elders at risk,aging-in-place can also put elders at risk,1
aiding the elderly to live in their own homes,aiding the elderly to live in their own homes,1
aids,aids,1
almost bed-ridden people,almost bed-ridden people,1
altered expression of adhesive molecules,altered expression of adhesive molecules,1
uneven gait,altered gait mechanics,4
uneven gait,do not allow for normal gait,4
uneven gait,inconsistent gait,4
uneven gait,uneven gait,4
altering the furniture,altering the furniture,1
"ambient sensors are expensive, invasive, and cumbersome","ambient sensors are expensive, invasive, and cumbersome",1
ameliorating pregnancy conditions,ameliorating pregnancy conditions,1
amount of force required to transfer a person,amount of force required to transfer a person,1
an elderly patient with a severe fatality may not be able to press the panic alert button after a fall,an elderly patient with a severe fatality may not be able to press the panic alert button after a fall,1
aneuploidies,aneuploidies,1
anguish and reduced confidence in mobility,anguish and reduced confidence in mobility,1
annoy the user,annoy the user,1
anomalous or unexpected sound signals,anomalous or unexpected sound signals,1
infertility,anovulatory infertility,19
infertility,autoimmune infertility,19
infertility,egg infertility,19
infertility,failure to ovulate,19
infertility,female infertility,19
infertility,fertility disorders,19
infertility,impaired fertility,19
infertility,infertility,19
infertility,infertility condition,19
infertility,infertility in humans,19
infertility,infertility in women,19
infertility,infertility problem,19
infertility,infertility problems,19
infertility,primary or secondary infertility,19
infertility,reproductive failure,19
infertility,sub-fertility,19
infertility,subfertility,19
infertility,tubal or unexplained infertility,19
infertility,unexplained infertility,19
anti-intuitive action,anti-intuitive action,1
anti-sperm antibodies,anti-sperm antibodies,1
antiquated radio system,antiquated radio system,1
patient anxiety,anxiety,2
patient anxiety,patient anxiety,2
anxiety felt by the elderly and disabled living alone,anxiety felt by the elderly and disabled living alone,1
anxiety felt by their loved ones,anxiety felt by their loved ones,1
anxiety that these elderly and disabled persons are safe and secure in their own residences,anxiety that these elderly and disabled persons are safe and secure in their own residences,1
application of physical pushing and/or pulling forces to the bed-ridden person,application of physical pushing and/or pulling forces to the bed-ridden person,1
appropriate prosthetic care for geriatric patients,appropriate prosthetic care for geriatric patients,1
appropriately exercising limbs,appropriately exercising limbs,1
approximately 100 million americans suffer from a chronic condition that may limit their independence and mobility,approximately 100 million americans suffer from a chronic condition that may limit their independence and mobility,1
"approximately 140,000 cycles of in vitro fertilization (ivf) were performed","approximately 140,000 cycles of in vitro fertilization (ivf) were performed",1
apps usually require complex setup through the host smartphone,apps usually require complex setup through the host smartphone,1
arched back,arched back,1
arduous adjustment process,arduous adjustment process,1
arduous for someone required to stand on only one leg during the adjustment process,arduous for someone required to stand on only one leg during the adjustment process,1
arrested development of the transplanted blastocyst,arrested development of the transplanted blastocyst,2
arrested development of the transplanted blastocyst,unsuccessful implantation after blastocyst transfer,2
arthritis,arthritis,2
arthritis,arthritis and/or orthopedic impairments,2
assault,assault,1
assistance provided to an impaired individual,assistance provided to an impaired individual,1
assistance with moving around,assistance with moving around,2
assistance with moving around,assistance with regard to mobility,2
assisted mobility and transfer of people,assisted mobility and transfer of people,3
assisted mobility and transfer of people,mobility-impaired individuals,3
assisted mobility and transfer of people,require some form of mobility assistance,3
burden of care,assisting burden,2
burden of care,burden of care,2
assisting infirm people to rise from and recline to a sitting position without help of another person,assisting infirm people to rise from and recline to a sitting position without help of another person,2
assisting infirm people to rise from and recline to a sitting position without help of another person,difficulty in moving a person from a prone position to a seated position,2
assisting necessity by a caregiver,assisting necessity by a caregiver,1
associated health cost of multiple pregnancies,associated health cost of multiple pregnancies,1
head traumas,associated trauma,2
head traumas,head traumas,2
at risk persons may be prone to certain emergent events,at risk persons may be prone to certain emergent events,1
attack in progress,attack in progress,1
"attacker will destroy, confiscate, and/or throw a victim's phone away","attacker will destroy, confiscate, and/or throw a victim's phone away",1
attempting to open prescription bottles is difficult,attempting to open prescription bottles is difficult,1
autoimmune reactions,autoimmune reactions,1
auxiliary equipment is expensive,auxiliary equipment is expensive,1
average household simply cannot accommodate nor afford a lift,average household simply cannot accommodate nor afford a lift,1
low live birth rate per cycle following ivf,average live-birth rate for an ivf cycle is approximately 1-in-3,3
low live birth rate per cycle following ivf,"live birth rate, per cycle, following ivf was just 29%",3
low live birth rate per cycle following ivf,low live birth rate per cycle following ivf,3
average rate of compliance for patients on chronic therapies is about 50% after one year,average rate of compliance for patients on chronic therapies is about 50% after one year,1
average success rate of approximately twenty-six percent,average success rate of approximately twenty-six percent,2
average success rate of approximately twenty-six percent,only a 23% average success rate,2
awkward position under compression,awkward position under compression,1
awkward postures required by other methods,awkward postures required by other methods,1
awkward to use,awkward to use,1
back injuries,back injuries,7
back injuries,back injury,7
back injuries,bruised or broken bones,7
back injuries,lift injuries,7
back injuries,musculoskeletal injury,7
back injuries,physical injuries,7
back injuries,physical injury,7
back strain,back strain,1
bad habits,bad habits,1
bad hygiene,bad hygiene,1
balance and stability issues,balance and stability issues,1
lack of bathing apparatus designed for bedridden or generally immovable persons,bathing for bedridden and other people with limited mobility,2
lack of bathing apparatus designed for bedridden or generally immovable persons,lack of bathing apparatus designed for bedridden or generally immovable persons,2
battery,battery,1
suffering an incapacitated condition and unable to summon help,becoming incapacitated and unable to get help,4
suffering an incapacitated condition and unable to summon help,incapacitated and unable to get help,4
suffering an incapacitated condition and unable to summon help,injured or incapacitated and be unable to summon assistance,4
suffering an incapacitated condition and unable to summon help,suffering an incapacitated condition and unable to summon help,4
behavior modification on the part of the elderly individual,behavior modification on the part of the elderly individual,1
behavioral and personality changes,behavioral and personality changes,1
individual lives alone,being alone,2
individual lives alone,individual lives alone,2
being alone might be a problem when faced with an emergency,being alone might be a problem when faced with an emergency,1
"bending or leaning conflicts with a correct, erect human posture","bending or leaning conflicts with a correct, erect human posture",1
bent back of the carer,bent back of the carer,1
big difficulties doing this by themselves due to reduced strength,big difficulties doing this by themselves due to reduced strength,1
biochemical pregnancy rate of 18%,biochemical pregnancy rate of 18%,1
blastocyst transfer is still controversial,blastocyst transfer is still controversial,1
bloating,bloating,1
blocked or missing tubes,blocked or missing tubes,1
blocking of voip-based emergency calls,blocking of voip-based emergency calls,2
blocking of voip-based emergency calls,blocking of voip-based or other network-based emergency calls,2
"body stops producing enough joint nourishing, shock absorbing synovial fluid","body stops producing enough joint nourishing, shock absorbing synovial fluid",1
bone fracture,bone fracture,6
bone fracture,bone fractures,6
bone fracture,hip bone fracture,6
bone fracture,hip fractures,6
bone fracture,spontaneous bone fractures,6
bone fracture,vertebral fracture,6
bone problems in patients with osteoporosis,bone problems in patients with osteoporosis,1
brain injuries,brain injuries,2
brain injuries,brain injury,2
broken hips,broken hips,1
budgetary or insurance restrictions,budgetary or insurance restrictions,1
bulky and/or may be unstable lifting apparatus,bulky and/or may be unstable lifting apparatus,1
bulky configuration,bulky configuration,1
bulky wheelchair,bulky wheelchair,1
"bulky, cumbersome, uncomfortable, and embarrassing devices","bulky, cumbersome, uncomfortable, and embarrassing devices",2
"bulky, cumbersome, uncomfortable, and embarrassing devices",cumbersome devices that restrain movements,2
burden on healthcare staff and professionals,burden on healthcare staff and professionals,1
great burden to the caregiver,burden on other caregivers,5
great burden to the caregiver,burden on other family members or household members,5
great burden to the caregiver,devastating toll on caregivers,5
great burden to the caregiver,great burden to the caregiver,5
great burden to the caregiver,large burden on the care giver,5
burdensome task of monitoring and caring for elderly individuals,burdensome task of monitoring and caring for elderly individuals,3
burdensome task of monitoring and caring for elderly individuals,caring for an elderly person,3
burdensome task of monitoring and caring for elderly individuals,monitoring the condition of elderly people in a home environment,3
call connect time is critical,call connect time is critical,1
inability to route the call to the appropriate psap,calls placed from portable text devices cannot be automatically routed to the geographically appropriate psap,3
inability to route the call to the appropriate psap,inability to route the call to the appropriate psap,3
inability to route the call to the appropriate psap,inappropriate phone line within a psap,3
can cause anxiety when the person being checked on does not respond,can cause anxiety when the person being checked on does not respond,1
can trigger a cascade of other factors that lead to a rapid decline of the health of an individual,can trigger a cascade of other factors that lead to a rapid decline of the health of an individual,2
can trigger a cascade of other factors that lead to a rapid decline of the health of an individual,rapid decline of the health of an individual,2
cancer,cancer,1
unable to obtain rapid assistance,cannot get immediate help,2
unable to obtain rapid assistance,unable to obtain rapid assistance,2
wearable devices cannot recognize the human body positioning and posture,cannot recognize the human body positioning and posture,2
wearable devices cannot recognize the human body positioning and posture,wearable devices cannot recognize the human body positioning and posture,2
lack the leg-strength to raise themselves from the floor to a standing position,cannot stand up from a sitting position by himself,2
lack the leg-strength to raise themselves from the floor to a standing position,lack the leg-strength to raise themselves from the floor to a standing position,2
canvas sling can cause pain,canvas sling can cause pain,1
canvas sling may lead to dropping the patient out,canvas sling may lead to dropping the patient out,1
canvas sling tends to take more than one assistant to operate,canvas sling tends to take more than one assistant to operate,1
traffic accidents,car accident,5
traffic accidents,fatal accidents,5
traffic accidents,traffic accidents,5
traffic accidents,traffic collisions,5
traffic accidents,vehicle crashes,5
care for individuals suffering from alzheimer's disease,care for individuals suffering from alzheimer's disease,2
care for individuals suffering from alzheimer's disease,care for individuals suffering from other dementias,2
care giver shortage,care giver shortage,1
caregiver is small and/or lacking in strength,caregiver being elderly or otherwise infirm,2
caregiver is small and/or lacking in strength,caregiver is small and/or lacking in strength,2
caregiver may be required to lift the user,caregiver may be required to lift the user,1
caregiver may not have the strength to lift the individual,caregiver may not have the strength to lift the individual,1
caregiver might not be watching them at all times,caregiver might not be watching them at all times,1
caregivers and their patients becoming shut-ins or avoiding dangerous situations,caregivers and their patients becoming shut-ins or avoiding dangerous situations,1
"caregivers may not be able to provide a complete, accurate and consistent monitoring","caregivers may not be able to provide a complete, accurate and consistent monitoring",1
caregivers often exert themselves,caregivers often exert themselves,1
"caring for aging, sick, and/or mentally or physically challenged friends or loved ones","caring for aging, sick, and/or mentally or physically challenged friends or loved ones",1
carrying their complete body weight,carrying their complete body weight,1
severe health consequences,catastrophic health consequences,4
severe health consequences,catastrophic health consequences to the patient,4
severe health consequences,severe health consequences,4
severe health consequences,severe negative health consequences,4
cell shape deformation,cell shape deformation,1
cerebral palsy,cerebral palsy,1
medical conditions,certain diseases and medical conditions,5
medical conditions,diseases,5
medical conditions,health conditions,5
medical conditions,medical and physical infirmities,5
medical conditions,medical conditions,5
challenge and risk for brittle osteoporosis patients,challenge and risk for brittle osteoporosis patients,1
challenge to balance,challenge to balance,1
challenges and drawbacks,challenges and drawbacks,1
challenges and drawbacks in the delivery of home health and general care,challenges and drawbacks in the delivery of home health and general care,2
challenges and drawbacks in the delivery of home health and general care,dependence upon the delivery of home health and general care,2
challenges as families are often no longer living near one another,challenges as families are often no longer living near one another,1
challenges of an aging population,challenges exist in keeping people healthy and functionally able as they age,4
challenges of an aging population,challenges in caring for older people,4
challenges of an aging population,challenges of an aging population,4
challenges of an aging population,problems facing the geriatric population,4
challenges in identifying the embryos that are most suitable for transfer,challenges in identifying the embryos that are most suitable for transfer,10
challenges in identifying the embryos that are most suitable for transfer,failure to correctly identify the most viable embryos,10
challenges in identifying the embryos that are most suitable for transfer,identify the embryos that are most suitable for transfer and most likely to result in term pregnancy,10
challenges in identifying the embryos that are most suitable for transfer,major challenges has been to identify the embryos that are most suitable for transfer,10
challenges in identifying the embryos that are most suitable for transfer,need for improved methods of providing top-quality embryos,10
challenges in identifying the embryos that are most suitable for transfer,need to identify viable embryos with the highest implantation potential,10
challenges in identifying the embryos that are most suitable for transfer,need to improve embryo selection,10
challenges in identifying the embryos that are most suitable for transfer,no embryos would be available for transfer,10
challenges in identifying the embryos that are most suitable for transfer,obtaining indicators for selecting embryos,10
challenges in identifying the embryos that are most suitable for transfer,significant challenge in non-invasive selection of the top-quality embryo,10
challenges in taking care of their health at home,challenges in taking care of their health at home,1
changing posture of a person from sitting to lying,changing posture of a person from sitting to lying,2
changing posture of a person from sitting to lying,speed of the transition from sitting to lying,2
changing topology of the cell mass due to the cell division/and or cell movement,changing topology of the cell mass due to the cell division/and or cell movement,1
child predators frequently instruct the child not to inform their parents,child predators frequently instruct the child not to inform their parents,1
child related risks,child related risks,2
child related risks,risks to children,2
child safety and well-being,child safety and well-being,1
child voluntarily posts personal information,child voluntarily posts personal information,1
children,children,1
children or scuba divers being left behind,children or scuba divers being left behind,1
chronic condition,chronic condition,2
chronic condition,chronically ill,2
chronic diseases such as parkinson's disease,chronic diseases such as parkinson's disease,1
chronic or acute back injuries and pain,chronic or acute back injuries and pain,1
chronic pelvic pain,chronic pelvic pain,1
circulatory problems,circulatory problems,1
client could be unconscious or unable to press a panic button,client could be unconscious or unable to press a panic button,1
clinical utility of combined gh/ovarian stimulation is limited,clinical utility of combined gh/ovarian stimulation is limited,1
closed head injuries from users falling backwards,closed head injuries from users falling backwards,1
lack of medication adherence,co-morbid conditions that interfere with their adherence to medication regimens,3
lack of medication adherence,difficulty complying with or adhering to medication regimens,3
lack of medication adherence,lack of medication adherence,3
coarse data generated by passive environmental sensors,coarse data generated by passive environmental sensors,1
getting confused with the complexity of the medication regimen,cognitive and sometimes physical challenges of following multiple medication regimens,3
getting confused with the complexity of the medication regimen,difficulty to monitor compliance with multiple medication schedules,3
getting confused with the complexity of the medication regimen,getting confused with the complexity of the medication regimen,3
cognitive difficulties such as alzheimer's disease or dementia,cognitive difficulties such as alzheimer's disease or dementia,2
cognitive difficulties such as alzheimer's disease or dementia,related cognitive disorders,2
cognitive function,cognitive function,2
cognitive function,reduction in memory and cognitive function,2
increased cognitive load,cognitive load,3
increased cognitive load,cognitive overload,3
increased cognitive load,increased cognitive load,3
comatose condition,comatose condition,1
common age related problems,common age related problems,1
common health problem,common health problem,1
common health problem that affects 10-15% of couples of reproductive-age,common health problem that affects 10-15% of couples of reproductive-age,1
common hip and leg impairments,common hip and leg impairments,1
compelled to move from their home to an assisted-living facility,compelled to move from their home to an assisted-living facility,1
complex central monitoring units,complex central monitoring units,1
complex signal processing,complex signal processing,1
complex transition from a wheelchair configuration to a walker configuration,complex transition from a wheelchair configuration to a walker configuration,1
complexity has the result that a problem in a part of the device can result in a total crash of the system,complexity has the result that a problem in a part of the device can result in a total crash of the system,1
complicated devices that are expensive and difficult to operate,complicated and expensive devices,2
complicated devices that are expensive and difficult to operate,complicated devices that are expensive and difficult to operate,2
complicated construction,complicated construction,1
complicated mechanisms making the folding of the walker difficult,complicated mechanisms making the folding of the walker difficult,1
complicated medication regimes,complicated medication regimes,2
complicated medication regimes,cumbersome process of managing medication changes,2
complicated systems,complicated systems,1
"complicated, one piece seats","complicated, one piece seats",1
complications from multiple pregnancies from art,complications from multiple pregnancies from art,2
complications from multiple pregnancies from art,preterm deliveries that result from multiple pregnancies caused by art,2
components that significantly impair embryonic development,components that significantly impair embryonic development,1
compression causes muscle cells to begin breaking down,compression causes muscle cells to begin breaking down,1
impaired implantation,compromised implantation receptivity,11
impaired implantation,disorder of implantation,11
impaired implantation,failure of embryos to implant,11
impaired implantation,impaired implantation,11
impaired implantation,implantation failure,11
impaired implantation,improper implantation of the embryo,11
impaired implantation,lower chance of successful implantation,11
impaired implantation,lower implantation rates,11
impaired implantation,poor implantation rate of ivf embryos,11
impaired implantation,recurrent implantation failure,11
impaired implantation,variable and poorly defined potential for successful implantation,11
compromising the safety of the bed,compromising the safety of the bed,1
conception rates of cattle range from 40% to 50%,conception rates of cattle range from 40% to 50%,1
condition requiring immediate attention,condition requiring immediate attention,1
conditions of weak limbs,conditions of weak limbs,1
conditions that hinder the normal operation of the body,conditions that hinder the normal operation of the body,1
conditions which limit the patient's mobility,conditions which limit the patient's mobility,1
conditions which make it difficult or impossible for them to rise from the floor or ground on their own,conditions which make it difficult or impossible for them to rise from the floor or ground on their own,1
confined to bed,confined to bed,1
confined to the chair,confined to the chair,1
confusion about appropriate quantities of food intake,confusion about appropriate quantities of food intake,1
"confusion about what, where and when the set of pills to be administrated","confusion about what, where and when the set of pills to be administrated",1
confusion and error,confusion and error,1
congestion,congestion,1
wandering,consequences of wandering,2
wandering,wandering,2
consequential damages if the person is trying to get up without assistance,consequential damages if the person is trying to get up without assistance,1
costly,considerable cost,3
costly,costly,3
costly,costly condition,3
considerable expense to society,considerable expense to society,3
considerable expense to society,considerable expense to the patient and society,3
considerable expense to society,high societal costs,3
considerable power draw on the device's battery source,considerable power draw on the device's battery source,1
constant need to closely monitor the physical condition,constant need to closely monitor the physical condition,1
constant processing and sensing requires considerable power,constant processing and sensing requires considerable power,1
"constant, uninterrupted monitoring is impractical","constant, uninterrupted monitoring is impractical",1
content unapproved by parents,content unapproved by parents,1
"continuing need for a lightweight, stable, portable lift","continuing need for a lightweight, stable, portable lift",1
questions regarding continuity and consistency of the monitoring,continuity and consistency of the monitoring,2
questions regarding continuity and consistency of the monitoring,questions regarding continuity and consistency of the monitoring,2
continuous general supervision and care,continuous general supervision and care,2
continuous general supervision and care,"continuous general, as well as medical, supervision and care",2
continuous supervision is not economically feasible,continuous supervision by caregivers is not economically feasible,3
continuous supervision is not economically feasible,continuous supervision is not economically feasible,3
continuous supervision is not economically feasible,continuous supervision is not feasible,3
controlled sequence of movement,controlled sequence of movement,1
conventional accelerometric detection of falls has been widely used for ambulatory tracking and fall detection,conventional accelerometric detection of falls has been widely used for ambulatory tracking and fall detection,2
conventional accelerometric detection of falls has been widely used for ambulatory tracking and fall detection,detecting the occurrence of falls,2
conventional monitoring devices do not include such function,conventional monitoring devices do not include such function,1
"conventional monitoring systems do not detect falls in real time, or predict a risk of a fall","conventional monitoring systems do not detect falls in real time, or predict a risk of a fall",1
conventional monitoring systems require a user to push a panic alert button,conventional monitoring systems require a user to push a panic alert button,1
"conventional pers may also collect information on vital signs, such as heart rate and heart rate variability","conventional pers may also collect information on vital signs, such as heart rate and heart rate variability",1
conventional protocols of ovulation stimulation do not accommodate selective treatment regimens,conventional protocols of ovulation stimulation do not accommodate selective treatment regimens,1
conventional rolling walker does not have dedicated feet support elements,conventional rolling walker does not have dedicated feet support elements,1
conventional systems do not provide support at angles far from vertical,conventional systems do not provide support at angles far from vertical,1
conventional walker provides no seating accommodation,conventional walker provides no seating accommodation,1
