representative,synonym,group_size
additional healthcare costs,rising costs in healthcare,8
additional healthcare costs,rising healthcare costs,8
additional healthcare costs,unnecessary health care costs,8
additional inconveniences,additional inconveniences,1
additional labor costs,additional labor costs,1
additional steps beyond the connection of an emergency call,additional steps beyond the connection of an emergency call,1
adds weight to the frame,adds weight to the frame,1
advance of chronic diseases,advance of chronic diseases,1
old age,advanced age,2
old age,old age,2
medical conditions that hinder or inhibit peoples' natural ambulatory abilities,adverse conditions ranging from general ambulatory decline to serious physical disabilities,2
medical conditions that hinder or inhibit peoples' natural ambulatory abilities,medical conditions that hinder or inhibit peoples' natural ambulatory abilities,2
adverse drug reactions,adverse drug reactions,3
adverse drug reactions,adverse drug reactions (adrs),3
adverse drug reactions,adverse effects,3
side effects from the gonadotropin preparations,adverse effects of gnrh agonists,2
side effects from the gonadotropin preparations,side effects from the gonadotropin preparations,2
adverse health outcomes,adverse health outcomes,3
adverse health outcomes,morbidity and negative outcomes,3
adverse health outcomes,severe negative health consequences,3
adverse outcomes for both the mother and fetuses,adverse outcomes for both the mother and fetuses,3
adverse outcomes for both the mother and fetuses,maternal and fetal risks,3
adverse outcomes for both the mother and fetuses,multiple gestations have well-documented adverse outcomes for both the mother and fetuses,3
negative physiological effects on the patient,adverse physical and emotional effects on the patient,4
negative physiological effects on the patient,negative physiological effects on the patient,4
negative physiological effects on the patient,negative psychological effects on the patient,4
negative physiological effects on the patient,serious consequences to the patient's health,4
adverse weather conditions,adverse weather conditions,1
advised to get admitted to assisted living facilities,advised to get admitted to assisted living facilities,4
advised to get admitted to assisted living facilities,advised to get admitted to home care,4
advised to get admitted to assisted living facilities,advised to get admitted to nursing homes,4
advised to get admitted to assisted living facilities,compelled to move from their home to an assisted-living facility,4
affecting manufacturing costs,affecting manufacturing costs,1
afraid of falling,afraid of falling,1
age,age,2
age,aging,2
age-related cognitive decline,age-related cognitive decline,2
age-related cognitive decline,decline in a number of cognitive domains,2
age-related disabilities and diseases,age-related disabilities and diseases,4
age-related disabilities and diseases,age-related health problems,4
age-related disabilities and diseases,increase in age-related diseases,4
age-related disabilities and diseases,increased prevalence of age-related disabilities,4
agent cannot lift a leg to step forward,agent cannot lift a leg to step forward,1
aggravated assault,aggravated assault,1
aggregate cost of hospital admissions related to medication non-adherence,aggregate cost of hospital admissions related to medication non-adherence,2
aggregate cost of hospital admissions related to medication non-adherence,nearly $48 billion in annual costs result from unnecessary medication-induced hospitalization,2
aging population,aging and/or disabled population,9
aging population,aging of the population,9
aging population,aging population,9
aging population,elderly or people with disabilities,9
aging population,elderly population,9
aging population,growing elder population,9
aging population,growing elderly and disabled population,9
aging population,rapidly aging population,9
aging population,upsurge in the aging population,9
aging crisis,aging crisis,2
aging crisis,aging society,2
growing senior population wants to age in place,aging in place,2
growing senior population wants to age in place,growing senior population wants to age in place,2
elderly people have a high risk of falling,aging population is at a higher risk of fall,13
elderly people have a high risk of falling,elderly individuals that are at risk of falling,13
elderly people have a high risk of falling,elderly individuals who are at risk of falling,13
elderly people have a high risk of falling,elderly people have a high risk of falling,13
elderly people have a high risk of falling,elderly people have a higher risk of falling,13
elderly people have a high risk of falling,elderly whom are more prone to falls,13
elderly people have a high risk of falling,falls are serious hazards for older individuals,13
elderly people have a high risk of falling,falls in the elderly,13
elderly people have a high risk of falling,falls of elderly individuals,13
elderly people have a high risk of falling,high risk of falling,13
elderly people have a high risk of falling,increased risk of falling,13
elderly people have a high risk of falling,risk for falls,13
elderly people have a high risk of falling,risk of falls,13
aging workforce,aging workforce,1
aging-in-place can also put elders at risk,aging-in-place can also put elders at risk,1
aiding the elderly to live in their own homes,aiding the elderly to live in their own homes,1
aids,aids,1
confined to bed,almost bed-ridden people,2
confined to bed,confined to bed,2
altered expression of adhesive molecules,altered expression of adhesive molecules,1
altered gait mechanics,altered gait mechanics,1
altering the furniture,altering the furniture,1
"ambient sensors are expensive, invasive, and cumbersome","ambient sensors are expensive, invasive, and cumbersome",1
ameliorating pregnancy conditions,ameliorating pregnancy conditions,1
amount of force required to transfer a person,amount of force required to transfer a person,1
an elderly patient with a severe fatality may not be able to press the panic alert button after a fall,an elderly patient with a severe fatality may not be able to press the panic alert button after a fall,2
an elderly patient with a severe fatality may not be able to press the panic alert button after a fall,client could be unconscious or unable to press a panic button,2
aneuploidies,aneuploidies,1
reduced mobility,anguish and reduced confidence in mobility,2
reduced mobility,reduced mobility,2
annoy the user,annoy the user,1
anomalous or unexpected sound signals,anomalous or unexpected sound signals,1
anovulatory infertility,anovulatory infertility,2
anovulatory infertility,failure to ovulate,2
anti-intuitive action,anti-intuitive action,1
anti-sperm antibodies,anti-sperm antibodies,1
antiquated radio system,antiquated radio system,1
anxiety,anxiety,1
anxiety felt by the elderly and disabled living alone,anxiety felt by the elderly and disabled living alone,3
anxiety felt by the elderly and disabled living alone,anxiety that these elderly and disabled persons are safe and secure in their own residences,3
anxiety felt by the elderly and disabled living alone,many elderly people live alone,3
anxiety felt by their loved ones,anxiety felt by their loved ones,1
application of physical pushing and/or pulling forces to the bed-ridden person,application of physical pushing and/or pulling forces to the bed-ridden person,2
application of physical pushing and/or pulling forces to the bed-ridden person,effort required by a care-giver to physically move a bed-ridden person,2
appropriate prosthetic care for geriatric patients,appropriate prosthetic care for geriatric patients,1
appropriately exercising limbs,appropriately exercising limbs,1
approximately 100 million americans suffer from a chronic condition that may limit their independence and mobility,approximately 100 million americans suffer from a chronic condition that may limit their independence and mobility,1
"approximately 140,000 cycles of in vitro fertilization (ivf) were performed","approximately 140,000 cycles of in vitro fertilization (ivf) were performed",1
apps usually require complex setup through the host smartphone,apps usually require complex setup through the host smartphone,1
arched back,arched back,1
arduous adjustment process,arduous adjustment process,1
arduous for someone required to stand on only one leg during the adjustment process,arduous for someone required to stand on only one leg during the adjustment process,1
arrested development of the transplanted blastocyst,arrested development of the transplanted blastocyst,1
arthritis,arthritis,1
arthritis and/or orthopedic impairments,arthritis and/or orthopedic impairments,1
assault,assault,1
assistance provided to an impaired individual,assistance provided to an impaired individual,1
assistance with moving around,assistance with moving around,6
assistance with moving around,assistance with regard to mobility,6
assistance with moving around,assisted mobility and transfer of people,6
assistance with moving around,little assistance in transfers,6
assistance with moving around,need assistance in standing and walking,6
assistance with moving around,require some form of mobility assistance,6
assisting burden,assisting burden,1
assisting infirm people to rise from and recline to a sitting position without help of another person,assisting infirm people to rise from and recline to a sitting position without help of another person,2
assisting infirm people to rise from and recline to a sitting position without help of another person,require assistance to help lift them out of their sitting position,2
assisting necessity by a caregiver,assisting necessity by a caregiver,1
associated health cost of multiple pregnancies,associated health cost of multiple pregnancies,1
associated trauma,associated trauma,1
at risk persons may be prone to certain emergent events,at risk persons may be prone to certain emergent events,1
attack in progress,attack in progress,1
"attacker will destroy, confiscate, and/or throw a victim's phone away","attacker will destroy, confiscate, and/or throw a victim's phone away",1
attempting to open prescription bottles is difficult,attempting to open prescription bottles is difficult,1
autoimmune infertility,autoimmune infertility,1
autoimmune reactions,autoimmune reactions,1
auxiliary equipment is expensive,auxiliary equipment is expensive,1
average household simply cannot accommodate nor afford a lift,average household simply cannot accommodate nor afford a lift,1
"live birth rate, per cycle, following ivf was just 29%",average live-birth rate for an ivf cycle is approximately 1-in-3,3
"live birth rate, per cycle, following ivf was just 29%","live birth rate, per cycle, following ivf was just 29%",3
"live birth rate, per cycle, following ivf was just 29%",low live birth rate per cycle following ivf,3
average rate of compliance for patients on chronic therapies is about 50% after one year,average rate of compliance for patients on chronic therapies is about 50% after one year,2
average rate of compliance for patients on chronic therapies is about 50% after one year,low rate of compliance with medication regimens,2
only a 23% average success rate,average success rate of approximately twenty-six percent,3
only a 23% average success rate,low success rates,3
only a 23% average success rate,only a 23% average success rate,3
awkward position under compression,awkward position under compression,1
awkward postures required by other methods,awkward postures required by other methods,1
awkward to use,awkward to use,3
awkward to use,difficult to use,3
awkward to use,uncomfortable to use,3
back injuries,back injuries,4
back injuries,back injury,4
back injuries,"high incidents of injuries to their backs, muscles or ligaments",4
back injuries,lift injuries,4
muscle strain,back strain,3
muscle strain,muscle strain,3
muscle strain,upper body strain,3
bad habits,bad habits,1
bad hygiene,bad hygiene,1
issues in balance,balance and stability issues,3
issues in balance,issues in balance,3
issues in balance,lack of balance,3
lack of bathing apparatus designed for bedridden or generally immovable persons,bathing for bedridden and other people with limited mobility,2
lack of bathing apparatus designed for bedridden or generally immovable persons,lack of bathing apparatus designed for bedridden or generally immovable persons,2
battery,battery,1
incapacitated and unable to get help,becoming incapacitated and unable to get help,4
incapacitated and unable to get help,incapacitated and unable to get help,4
incapacitated and unable to get help,injured or incapacitated and be unable to summon assistance,4
incapacitated and unable to get help,suffering an incapacitated condition and unable to summon help,4
behavior modification on the part of the elderly individual,behavior modification on the part of the elderly individual,1
behavioral and personality changes,behavioral and personality changes,1
loneliness,being alone,2
loneliness,loneliness,2
higher risk of being alone and experiencing an emergency,being alone might be a problem when faced with an emergency,3
higher risk of being alone and experiencing an emergency,higher risk of being alone and experiencing an emergency,3
higher risk of being alone and experiencing an emergency,persons living alone are at risk of going without help for a long period if they have an accident or medical emergency,3
"bending or leaning conflicts with a correct, erect human posture","bending or leaning conflicts with a correct, erect human posture",1
bent back of the carer,bent back of the carer,1
big difficulties doing this by themselves due to reduced strength,big difficulties doing this by themselves due to reduced strength,1
biochemical pregnancy rate of 18%,biochemical pregnancy rate of 18%,1
blastocyst transfer is still controversial,blastocyst transfer is still controversial,1
bloating,bloating,1
blocked or missing tubes,blocked or missing tubes,1
blocking of voip-based emergency calls,blocking of voip-based emergency calls,2
blocking of voip-based emergency calls,blocking of voip-based or other network-based emergency calls,2
"body stops producing enough joint nourishing, shock absorbing synovial fluid","body stops producing enough joint nourishing, shock absorbing synovial fluid",1
bone fracture,bone fracture,4
bone fracture,bone fractures,4
bone fracture,fracture,4
bone fracture,hip bone fracture,4
challenge and risk for brittle osteoporosis patients,bone problems in patients with osteoporosis,2
challenge and risk for brittle osteoporosis patients,challenge and risk for brittle osteoporosis patients,2
brain injuries,brain injuries,4
brain injuries,brain injury,4
brain injuries,head traumas,4
brain injuries,physical injuries,4
broken hips,broken hips,2
broken hips,hip or shoulder fractures,2
bruised or broken bones,bruised or broken bones,1
budgetary or insurance restrictions,budgetary or insurance restrictions,1
bulky and/or may be unstable lifting apparatus,bulky and/or may be unstable lifting apparatus,1
bulky configuration,bulky configuration,1
bulky wheelchair,bulky wheelchair,2
bulky wheelchair,wheelchairs require large spaces for storage,2
"bulky, cumbersome, uncomfortable, and embarrassing devices","bulky, cumbersome, uncomfortable, and embarrassing devices",4
"bulky, cumbersome, uncomfortable, and embarrassing devices",cumbersome devices that restrain movements,4
"bulky, cumbersome, uncomfortable, and embarrassing devices","current products on the market are bulky, cumbersome, and expensive",4
"bulky, cumbersome, uncomfortable, and embarrassing devices","large, heavy, cumbersome, and costly assistive devices",4
burden on other caregivers,burden of care,3
burden on other caregivers,burden on other caregivers,3
burden on other caregivers,large burden on the care giver,3
burden on healthcare staff and professionals,burden on healthcare staff and professionals,1
burden on other family members or household members,burden on other family members or household members,1
burdensome task of monitoring and caring for elderly individuals,burdensome task of monitoring and caring for elderly individuals,1
call connect time is critical,call connect time is critical,1
inability to route the call to the appropriate psap,calls placed from portable text devices cannot be automatically routed to the geographically appropriate psap,2
inability to route the call to the appropriate psap,inability to route the call to the appropriate psap,2
can cause anxiety when the person being checked on does not respond,can cause anxiety when the person being checked on does not respond,1
can trigger a cascade of other factors that lead to a rapid decline of the health of an individual,can trigger a cascade of other factors that lead to a rapid decline of the health of an individual,1
cancer,cancer,1
cannot get immediate help,cannot get immediate help,2
cannot get immediate help,unable to obtain rapid assistance,2
wearable devices cannot recognize the human body positioning and posture,cannot recognize the human body positioning and posture,2
wearable devices cannot recognize the human body positioning and posture,wearable devices cannot recognize the human body positioning and posture,2
difficulty standing up and sitting down,cannot stand up from a sitting position by himself,2
difficulty standing up and sitting down,difficulty standing up and sitting down,2
canvas sling can cause pain,canvas sling can cause pain,3
canvas sling can cause pain,canvas sling may lead to dropping the patient out,3
canvas sling can cause pain,sling may exert uncomfortable pressure on various portions of the individual's body,3
canvas sling tends to take more than one assistant to operate,canvas sling tends to take more than one assistant to operate,1
traffic accidents,car accident,3
traffic accidents,traffic accidents,3
traffic accidents,vehicle crashes,3
care for individuals suffering from other dementias,care for individuals suffering from alzheimer's disease,2
care for individuals suffering from other dementias,care for individuals suffering from other dementias,2
care giver shortage,care giver shortage,1
caregiver is small and/or lacking in strength,caregiver being elderly or otherwise infirm,2
caregiver is small and/or lacking in strength,caregiver is small and/or lacking in strength,2
caregiver may not have the strength to lift the individual,caregiver may be required to lift the user,2
caregiver may not have the strength to lift the individual,caregiver may not have the strength to lift the individual,2
caregiver might not be watching them at all times,caregiver might not be watching them at all times,1
caregivers and their patients becoming shut-ins or avoiding dangerous situations,caregivers and their patients becoming shut-ins or avoiding dangerous situations,1
"caregivers may not be able to provide a complete, accurate and consistent monitoring","caregivers may not be able to provide a complete, accurate and consistent monitoring",2
"caregivers may not be able to provide a complete, accurate and consistent monitoring",sufficient coverage by caregivers may not be possible,2
caregivers often exert themselves,caregivers often exert themselves,2
caregivers often exert themselves,significant effort from the caregiver,2
"caring for aging, sick, and/or mentally or physically challenged friends or loved ones","caring for aging, sick, and/or mentally or physically challenged friends or loved ones",1
caring for an elderly person,caring for an elderly person,1
carrying their complete body weight,carrying their complete body weight,1
catastrophic health consequences,catastrophic health consequences,4
catastrophic health consequences,catastrophic health consequences to the patient,4
catastrophic health consequences,medical catastrophes,4
catastrophic health consequences,severe health consequences,4
cell shape deformation,cell shape deformation,1
cerebral palsy,cerebral palsy,1
medical conditions,certain diseases and medical conditions,2
medical conditions,medical conditions,2
challenge to balance,challenge to balance,1
drawbacks to current implementations,challenges and drawbacks,3
drawbacks to current implementations,drawbacks to current implementations,3
drawbacks to current implementations,drawbacks to existing systems,3
challenges in taking care of their health at home,challenges and drawbacks in the delivery of home health and general care,2
challenges in taking care of their health at home,challenges in taking care of their health at home,2
challenges as families are often no longer living near one another,challenges as families are often no longer living near one another,1
challenges of an aging population,challenges exist in keeping people healthy and functionally able as they age,3
challenges of an aging population,challenges in caring for older people,3
challenges of an aging population,challenges of an aging population,3
challenges in identifying the embryos that are most suitable for transfer,challenges in identifying the embryos that are most suitable for transfer,7
challenges in identifying the embryos that are most suitable for transfer,failure to correctly identify the most viable embryos,7
challenges in identifying the embryos that are most suitable for transfer,identify the embryos that are most suitable for transfer and most likely to result in term pregnancy,7
challenges in identifying the embryos that are most suitable for transfer,major challenges has been to identify the embryos that are most suitable for transfer,7
challenges in identifying the embryos that are most suitable for transfer,need to identify viable embryos with the highest implantation potential,7
challenges in identifying the embryos that are most suitable for transfer,need to improve embryo selection,7
challenges in identifying the embryos that are most suitable for transfer,significant challenge in non-invasive selection of the top-quality embryo,7
speed of the transition from sitting to lying,changing posture of a person from sitting to lying,2
speed of the transition from sitting to lying,speed of the transition from sitting to lying,2
changing topology of the cell mass due to the cell division/and or cell movement,changing topology of the cell mass due to the cell division/and or cell movement,1
child predators frequently instruct the child not to inform their parents,child predators frequently instruct the child not to inform their parents,1
child related risks,child related risks,2
child related risks,risks to children,2
child safety and well-being,child safety and well-being,1
child voluntarily posts personal information,child voluntarily posts personal information,1
children,children,1
children or scuba divers being left behind,children or scuba divers being left behind,1
"chromosomal abnormalities, or aneuploidy","chromosomal abnormalities, or aneuploidy",1
chromosome segregation errors,chromosome segregation errors,1
chronically ill,chronic condition,3
chronically ill,chronically ill,3
chronically ill,people with chronic medical conditions,3
chronic diseases such as parkinson's disease,chronic diseases such as parkinson's disease,1
chronic or acute back injuries and pain,chronic or acute back injuries and pain,1
chronic pelvic pain,chronic pelvic pain,1
circulatory problems,circulatory problems,1
clinical utility of combined gh/ovarian stimulation is limited,clinical utility of combined gh/ovarian stimulation is limited,1
closed head injuries from users falling backwards,closed head injuries from users falling backwards,1
difficulty complying with or adhering to medication regimens,co-morbid conditions that interfere with their adherence to medication regimens,2
difficulty complying with or adhering to medication regimens,difficulty complying with or adhering to medication regimens,2
coarse data generated by passive environmental sensors,coarse data generated by passive environmental sensors,1
cognitive and sometimes physical challenges of following multiple medication regimens,cognitive and sometimes physical challenges of following multiple medication regimens,7
cognitive and sometimes physical challenges of following multiple medication regimens,complicated medication regimes,7
cognitive and sometimes physical challenges of following multiple medication regimens,"difficulty in acquiring, organizing, and remembering to take their medications",7
cognitive and sometimes physical challenges of following multiple medication regimens,difficulty to adhere to a medication schedule,7
cognitive and sometimes physical challenges of following multiple medication regimens,difficulty to monitor compliance with multiple medication schedules,7
cognitive and sometimes physical challenges of following multiple medication regimens,getting confused with the complexity of the medication regimen,7
cognitive and sometimes physical challenges of following multiple medication regimens,issues managing their medications,7
cognitive difficulties such as alzheimer's disease or dementia,cognitive difficulties such as alzheimer's disease or dementia,1
cognitive function,cognitive function,1
cognitive load,cognitive load,3
cognitive load,cognitive overload,3
cognitive load,increased cognitive load,3
comatose condition,comatose condition,1
common age related problems,common age related problems,1
health problems,common health problem,2
health problems,health problems,2
common hip and leg impairments,common hip and leg impairments,1
complex central monitoring units,complex central monitoring units,1
complex signal processing,complex signal processing,1
complex transition from a wheelchair configuration to a walker configuration,complex transition from a wheelchair configuration to a walker configuration,1
complexity has the result that a problem in a part of the device can result in a total crash of the system,complexity has the result that a problem in a part of the device can result in a total crash of the system,1
complicated and expensive devices,complicated and expensive devices,3
complicated and expensive devices,complicated devices that are expensive and difficult to operate,3
complicated and expensive devices,prior art devices and systems being too expensive and complex,3
complicated construction,complicated construction,1
complicated mechanisms making the folding of the walker difficult,complicated mechanisms making the folding of the walker difficult,1
complicated systems,complicated systems,1
"complicated, one piece seats","complicated, one piece seats",1
complications from multiple pregnancies from art,complications from multiple pregnancies from art,2
complications from multiple pregnancies from art,preterm deliveries that result from multiple pregnancies caused by art,2
components that significantly impair embryonic development,components that significantly impair embryonic development,1
compression causes muscle cells to begin breaking down,compression causes muscle cells to begin breaking down,1
compromised implantation receptivity,compromised implantation receptivity,5
compromised implantation receptivity,impaired implantation,5
compromised implantation receptivity,insufficient modulation of the endometrial receptivity,5
compromised implantation receptivity,recurrent implantation failure,5
compromised implantation receptivity,variable and poorly defined potential for successful implantation,5
compromising the safety of the bed,compromising the safety of the bed,1
conception rates of cattle range from 40% to 50%,conception rates of cattle range from 40% to 50%,1
medical emergency,condition requiring immediate attention,3
medical emergency,medical conditions needing fast emergency response,3
medical emergency,medical emergency,3
conditions of weak limbs,conditions of weak limbs,2
conditions of weak limbs,weakened muscles,2
conditions that hinder the normal operation of the body,conditions that hinder the normal operation of the body,1
mobility limitations,conditions which limit the patient's mobility,9
mobility limitations,limited mobility,9
mobility limitations,mobility impaired,9
mobility limitations,mobility issues,9
mobility limitations,mobility limitations,9
mobility limitations,mobility problems,9
mobility limitations,"mobility, strength or other limitations hindering them from coming from a sitting position to a lying position",9
mobility limitations,patients featuring strongly reduced mobility or totally devoid of mobility,9
mobility limitations,reduced mobility conditions,9
find it difficult or impossible to rise to their feet,conditions which make it difficult or impossible for them to rise from the floor or ground on their own,6
find it difficult or impossible to rise to their feet,difficult or impossible for certain people to sit or stand from a seated position on a chair,6
find it difficult or impossible to rise to their feet,difficulties to get up from a sitting position,6
find it difficult or impossible to rise to their feet,find it difficult or impossible to rise to their feet,6
find it difficult or impossible to rise to their feet,inability to easily rise back up,6
find it difficult or impossible to rise to their feet,lack the leg-strength to raise themselves from the floor to a standing position,6
confined to the chair,confined to the chair,1
confusion about appropriate quantities of food intake,confusion about appropriate quantities of food intake,1
"confusion about what, where and when the set of pills to be administrated","confusion about what, where and when the set of pills to be administrated",1
confusion and error,confusion and error,1
congestion,congestion,1
consequences of wandering,consequences of wandering,1
consequential damages if the person is trying to get up without assistance,consequential damages if the person is trying to get up without assistance,1
considerable cost,considerable cost,2
considerable cost,considerable expense to society,2
considerable expense to the patient and society,considerable expense to the patient and society,1
considerable power draw on the device's battery source,considerable power draw on the device's battery source,1
